Samples	SBS96A	SBS96B	SBS96C
TCGA-CV-6938	6.09E-01	7.85E-01	8.50E-01
TCGA-CV-6939	2.18E-01	4.58E-01	5.00E-01
TCGA-CV-6940	9.74E-01	8.46E-01	1.08E+00
TCGA-CV-6941	5.96E-01	1.19E+00	1.24E+00
TCGA-CV-6942	1.05E+00	9.20E-01	1.08E+00
TCGA-CV-6943	4.40E-01	2.49E-01	4.25E-01
TCGA-CV-6945	6.83E-01	9.19E-01	9.67E-01
TCGA-CV-6948	9.45E-01	1.16E+00	1.18E+00
TCGA-CV-6950	3.12E-01	5.83E-01	6.78E-01
TCGA-CV-6951	8.60E-01	1.02E+00	1.04E+00
TCGA-CV-6952	8.61E-01	1.13E+00	1.36E+00
TCGA-CV-6953	7.18E-01	7.91E-01	8.30E-01
TCGA-CV-6954	6.06E-01	1.04E+00	1.07E+00
TCGA-CV-6955	5.81E-01	6.90E-01	7.97E-01
TCGA-CV-6956	9.47E-01	1.24E+00	1.44E+00
TCGA-CV-6959	4.58E-01	6.56E-01	6.66E-01
TCGA-CV-6960	7.64E-01	1.09E+00	1.05E+00
TCGA-CV-6961	1.20E+00	1.04E+00	1.16E+00
TCGA-CV-6962	3.40E-01	9.91E-01	1.03E+00
TCGA-CV-7089	8.57E-01	1.07E+00	1.07E+00
TCGA-CV-7090	4.72E-01	4.64E-01	6.44E-01
TCGA-CV-7091	8.02E-01	9.28E-01	1.00E+00
TCGA-CV-7095	1.23E+00	1.04E+00	1.28E+00
TCGA-CV-7097	5.22E-01	7.18E-01	8.60E-01
TCGA-CV-7099	1.07E+00	7.12E-01	1.04E+00
TCGA-CV-7100	2.08E-01	2.77E-01	2.72E-01
TCGA-CV-7101	9.27E-01	1.09E+00	1.30E+00
TCGA-CV-7102	8.52E-01	9.70E-01	1.16E+00
TCGA-CV-7103	3.63E-01	5.41E-01	6.13E-01
TCGA-CV-7104	7.92E-01	8.57E-01	9.77E-01
TCGA-CV-7177	6.65E-01	7.05E-01	9.05E-01
TCGA-CV-7178	6.88E-01	8.76E-01	1.00E+00
TCGA-CV-7180	4.25E-01	5.97E-01	6.62E-01
TCGA-CV-7183	4.08E-01	5.42E-01	5.79E-01
TCGA-CV-7235	6.80E-01	1.06E+00	1.06E+00
TCGA-CV-7236	1.00E-02	3.27E-01	3.27E-01
TCGA-CV-7238	4.35E-01	3.60E-01	5.28E-01
TCGA-CV-7242	8.69E-01	1.50E+00	1.48E+00
TCGA-CV-7243	5.11E-01	4.08E-01	6.59E-01
TCGA-CV-7245	1.13E+00	2.20E+00	2.11E+00
TCGA-CV-7247	5.23E-01	7.07E-01	7.94E-01
TCGA-CV-7248	7.47E-01	1.34E+00	1.40E+00
TCGA-CV-7250	5.93E-01	1.21E+00	1.20E+00
TCGA-CV-7252	1.12E+00	8.90E-01	1.38E+00
TCGA-CV-7253	5.06E-01	1.22E+00	1.25E+00
TCGA-CV-7254	7.18E-01	1.38E+00	1.32E+00
TCGA-CV-7255	4.44E-01	7.50E-01	7.86E-01
TCGA-CV-7261	5.89E-01	7.28E-01	7.87E-01
TCGA-CV-7263	3.98E-01	8.90E-01	9.40E-01
TCGA-CV-7406	9.41E-01	5.86E-01	1.08E+00
TCGA-CV-7407	6.00E-01	7.88E-01	8.48E-01
TCGA-CV-7410	3.19E-01	2.77E-01	2.91E-01
TCGA-CV-7411	7.39E-01	1.01E+00	9.81E-01
TCGA-CV-7413	6.41E-01	4.72E-01	7.28E-01
TCGA-CV-7414	1.06E+00	1.22E+00	1.22E+00
TCGA-CV-7415	5.29E-01	6.07E-01	7.82E-01
TCGA-CV-7416	6.70E-01	4.11E-01	7.76E-01
