Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-CV-7427	219	271	6	3	0	5	0	0	2
TCGA-CV-7429	8	4	7	17	0	1	19	0	1
TCGA-CV-7430	16	3	31	26	0	0	0	30	20
TCGA-CV-7432	12	2	36	3	82	23	0	16	7
TCGA-CV-7433	16	19	13	8	0	26	2	2	17
TCGA-CV-7434	0	5	24	15	45	10	4	0	8
TCGA-CV-7435	14	2	3	0	16	0	19	7	24
TCGA-CV-7437	17	12	18	26	62	0	0	0	0
TCGA-CV-7438	10	23	10	30	0	0	0	16	13
TCGA-CV-7440	16	19	89	28	0	0	28	17	26
TCGA-CV-7446	25	28	23	12	22	34	0	3	19
TCGA-CV-A45O	70	25	0	5	37	0	8	0	0
TCGA-CV-A45P	56	58	11	28	15	0	13	0	0
TCGA-CV-A45Q	69	98	9	29	94	0	21	1	3
TCGA-CV-A45R	8	0	0	43	20	0	20	1	6
TCGA-CV-A45T	0	0	0	7	0	0	0	0	2
TCGA-CV-A45U	77	33	28	21	0	19	19	8	15
TCGA-CV-A45V	20	10	6	14	50	0	0	19	0
TCGA-CV-A45W	37	20	255	16	48	57	70	34	17
TCGA-CV-A45X	5	15	7	15	0	21	7	33	12
TCGA-CV-A45Y	0	7	6	3	12	0	1	5	7
TCGA-CV-A45Z	13	37	277	1	0	238	64	9	12
TCGA-CV-A460	7	5	3	18	2	24	0	0	14
TCGA-CV-A461	41	16	299	0	71	8	162	59	32
TCGA-CV-A463	78	48	8	53	16	14	9	16	9
TCGA-CV-A464	4	0	1	1	7	7	0	5	0
TCGA-CV-A465	4	4	0	10	7	3	8	0	0
TCGA-CV-A468	24	0	0	28	64	8	0	27	7
TCGA-CV-A6JD	10	0	6	44	0	22	0	17	0
TCGA-CV-A6JE	21	39	2	5	18	4	28	4	33
TCGA-CV-A6JM	162	73	4	18	0	37	32	12	4
TCGA-CV-A6JN	8	2	12	22	8	0	0	0	37
TCGA-CV-A6JO	0	2	0	30	11	12	10	0	0
TCGA-CV-A6JT	8	2	1	23	14	0	11	0	0
TCGA-CV-A6JU	0	7	4	1	0	0	56	60	12
TCGA-CV-A6JY	8	0	10	24	6	17	0	21	0
TCGA-CV-A6JZ	10	0	14	12	7	35	0	18	11
TCGA-CV-A6K0	1	0	0	3	0	3	0	0	0
TCGA-CV-A6K1	57	30	114	132	0	0	0	200	0
TCGA-CV-A6K2	367	372	9	9	0	0	0	16	0
TCGA-CX-7082	6	11	10	11	0	2	2	23	40
TCGA-CX-7085	31	33	1	14	0	0	0	0	3
TCGA-CX-7086	34	36	18	0	74	21	10	35	23
TCGA-CX-7219	21	21	7	22	10	39	0	4	4
TCGA-CX-A4AQ	15	13	13	27	0	18	0	11	15
TCGA-D6-6515	7	0	0	10	20	0	0	0	2
TCGA-D6-6517	5	0	11	3	26	0	2	17	11
TCGA-D6-6823	6	4	11	0	29	12	8	3	39
TCGA-D6-6824	1	0	7	0	0	4	0	6	0
TCGA-D6-6825	8	4	0	17	4	35	0	8	6
TCGA-D6-6826	15	18	0	23	16	13	12	12	0
TCGA-D6-6827	0	0	0	2	2	0	1	6	1
TCGA-D6-8568	11	6	7	9	20	0	40	9	8
TCGA-D6-8569	4	0	18	8	21	21	0	40	33
TCGA-D6-A4Z9	1	5	13	11	21	14	14	2	25
TCGA-D6-A4ZB	4	42	18	6	25	0	0	12	12
TCGA-D6-A6EK	17	0	39	23	0	43	11	23	30
TCGA-D6-A6EM	11	0	7	29	0	29	0	0	24
TCGA-D6-A6EN	15	9	17	30	28	0	7	0	3
TCGA-D6-A6EO	8	0	0	0	36	17	29	7	0
TCGA-D6-A6EP	11	17	25	8	0	29	31	17	11
TCGA-D6-A6EQ	18	6	11	0	26	0	0	40	0
TCGA-D6-A6ES	42	108	11	28	0	27	0	6	13
TCGA-D6-A74Q	68	57	186	25	49	38	16	17	21
TCGA-DQ-5624	35	17	0	12	0	0	0	17	2
TCGA-DQ-5625	34	78	1	21	41	0	0	0	35
TCGA-DQ-5629	20	23	107	27	0	39	101	54	8
TCGA-DQ-5630	0	6	3	19	0	0	2	19	8
TCGA-DQ-5631	11	6	0	26	21	0	30	7	0
TCGA-DQ-7588	23	19	6	7	0	8	19	0	33
TCGA-DQ-7591	3	3	0	2	13	0	0	15	4
TCGA-DQ-7592	4	4	4	10	22	0	6	33	1
TCGA-DQ-7593	0	0	0	9	3	9	1	0	1
TCGA-DQ-7596	0	3	0	11	0	3	0	0	1
TCGA-F7-7848	17	10	161	11	0	30	96	20	25
TCGA-F7-8298	12	42	8	17	0	0	0	0	32
TCGA-F7-8489	22	20	15	18	0	10	0	6	29
TCGA-F7-A50G	7	28	0	25	52	0	0	0	0
TCGA-F7-A50I	13	6	34	17	15	3	20	29	14
TCGA-F7-A50J	30	56	9	38	15	5	9	11	2
TCGA-F7-A61S	7	7	15	43	0	0	12	24	14
TCGA-F7-A61V	20	15	13	9	0	47	0	0	10
TCGA-F7-A61W	0	5	7	5	0	0	0	11	46
TCGA-F7-A620	6	3	2	18	0	0	19	0	8
TCGA-F7-A622	0	1	0	24	0	17	4	0	17
TCGA-F7-A623	30	18	10	21	38	0	24	36	26
TCGA-H7-7774	13	2	13	36	33	0	0	35	8
TCGA-H7-8501	54	72	9	34	0	0	0	0	5
TCGA-H7-A6C4	3	0	0	20	0	8	0	0	0
TCGA-H7-A6C5	5	3	21	21	19	35	0	13	0
TCGA-H7-A76A	35	33	0	12	0	0	2	0	0
TCGA-HD-7229	11	20	18	42	0	0	57	9	4
TCGA-HD-7753	2	5	24	0	20	5	6	0	41
TCGA-HD-7754	8	0	0	16	36	9	0	0	0
TCGA-HD-7831	2	0	0	5	17	4	8	0	0
TCGA-HD-7832	23	3	0	3	29	7	0	27	24
TCGA-HD-8224	6	4	11	18	6	0	8	6	14
TCGA-HD-8314	40	11	1	7	0	0	18	0	0
TCGA-HD-8634	10	7	6	10	17	0	0	13	0
TCGA-HD-8635	34	61	24	9	49	0	39	3	17
TCGA-HD-A4C1	62	54	11	44	0	0	0	49	8
TCGA-HD-A633	38	31	10	21	0	54	0	0	0
TCGA-HD-A634	4	0	11	16	0	8	4	1	0
TCGA-HD-A6HZ	11	18	7	31	0	0	6	17	0
TCGA-HD-A6I0	15	3	4	40	2	8	11	0	1
TCGA-IQ-7630	14	19	15	89	0	0	0	0	8
TCGA-IQ-7631	2	0	0	9	24	0	0	2	0
TCGA-IQ-7632	3	0	0	2	0	19	0	9	8
TCGA-IQ-A61E	49	70	0	24	3	34	0	8	0
TCGA-IQ-A61G	9	7	19	20	35	0	14	39	6
TCGA-IQ-A61H	23	27	4	32	13	29	0	0	21
TCGA-IQ-A61I	80	25	0	7	29	0	0	6	0
TCGA-IQ-A61J	0	0	4	9	18	5	0	3	0
TCGA-IQ-A61O	5	0	2	20	0	13	0	1	0
TCGA-IQ-A6SG	4	0	31	8	36	0	0	18	18
TCGA-IQ-A6SH	12	2	0	20	13	13	0	17	9
TCGA-KU-A66S	0	56	67	22	0	0	356	0	0
TCGA-KU-A66T	12	5	6	39	0	0	34	21	0
TCGA-KU-A6H7	69	53	0	5	20	3	0	0	0
TCGA-KU-A6H8	0	0	2	4	6	0	0	0	9
TCGA-MT-A51W	9	24	7	3	0	0	0	7	19
TCGA-MT-A51X	0	3	0	17	0	13	0	24	0
TCGA-MT-A67A	6	3	0	52	15	0	28	6	6
TCGA-MT-A67D	11	0	2	24	12	24	0	16	16
TCGA-MT-A67F	173	120	0	7	0	8	0	14	0
TCGA-MT-A7BN	10	4	8	29	3	11	0	0	2
TCGA-MZ-A5BI	1	4	0	12	1	0	0	17	0
TCGA-MZ-A6I9	3	3	0	9	0	0	15	0	0
TCGA-MZ-A7D7	15	36	11	0	27	14	12	0	22
TCGA-P3-A5Q5	111	127	0	11	68	0	0	0	0
TCGA-P3-A5Q6	18	16	2	30	0	15	33	0	27
TCGA-P3-A5QA	2	0	7	47	0	13	2	0	0
TCGA-P3-A5QE	2	8	2	22	0	7	3	0	1
TCGA-P3-A5QF	222	195	0	7	0	0	12	0	0
TCGA-P3-A6SW	12	8	0	8	16	26	0	0	0
TCGA-P3-A6SX	0	30	38	13	54	12	0	5	49
TCGA-P3-A6T0	6	2	0	32	26	20	10	2	4
TCGA-P3-A6T2	22	7	9	24	0	0	13	0	2
TCGA-P3-A6T3	33	45	3	25	0	17	0	0	0
TCGA-P3-A6T4	29	53	0	1	24	4	37	0	14
TCGA-P3-A6T5	65	43	19	43	48	0	0	0	20
TCGA-P3-A6T6	39	36	19	16	4	24	8	0	8
TCGA-P3-A6T7	13	29	2	37	22	0	29	0	19
