Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-CN-A497	1.01E+00	6.25E-01	3.80E+00	6.10E-01	1.71E+00	2.97E+00	3.91E+00	2.34E+00	1.49E+00
TCGA-CN-A498	8.21E-01	9.98E-01	6.74E-01	7.38E-01	9.18E-01	1.07E+00	9.12E-01	1.04E+00	7.69E-01
TCGA-CN-A499	2.10E-01	1.12E-01	1.08E-01	6.94E-01	7.17E-01	3.06E-01	2.49E-01	3.92E-01	2.68E-01
TCGA-CN-A49A	9.27E-01	1.01E+00	5.82E-01	9.49E-01	1.04E+00	1.01E+00	1.19E+00	6.84E-01	5.56E-01
TCGA-CN-A49B	8.40E-01	7.62E-01	1.33E-01	1.14E+00	1.15E+00	8.04E-01	5.75E-01	5.17E-01	8.03E-01
TCGA-CN-A49C	3.78E-01	2.76E-01	7.46E-02	8.33E-01	7.88E-01	5.07E-01	3.30E-01	5.16E-01	2.25E-01
TCGA-CN-A63T	7.80E-01	5.57E-01	2.27E+00	1.02E+00	1.70E+00	2.12E+00	2.17E+00	1.74E+00	1.19E+00
TCGA-CN-A63U	1.47E+00	8.32E-01	4.33E+00	1.15E+00	2.92E+00	3.57E+00	4.29E+00	2.78E+00	2.08E+00
TCGA-CN-A63V	5.05E-01	1.91E-01	5.31E-01	1.13E+00	1.29E+00	1.03E+00	6.72E-01	9.46E-01	3.09E-01
TCGA-CN-A63W	9.89E-01	1.03E+00	3.63E+00	1.28E+00	2.57E+00	3.12E+00	3.49E+00	2.48E+00	1.23E+00
TCGA-CN-A641	1.04E+00	3.49E-01	2.14E+00	1.03E+00	1.75E+00	1.93E+00	2.42E+00	1.29E+00	9.14E-01
TCGA-CN-A642	5.85E-01	4.78E-01	2.05E-01	9.06E-01	9.87E-01	6.97E-01	4.55E-01	4.97E-01	4.04E-01
TCGA-CN-A6UY	4.39E-01	2.35E-01	5.01E-01	6.73E-01	7.04E-01	4.94E-01	5.85E-01	6.12E-01	1.29E-01
TCGA-CN-A6V1	1.75E+00	1.67E+00	1.20E-01	4.86E-01	7.03E-01	3.72E-01	2.44E-01	4.20E-01	3.17E-01
TCGA-CN-A6V3	9.24E-01	4.70E-01	2.18E+00	8.94E-01	1.41E+00	1.86E+00	2.25E+00	1.29E+00	1.23E+00
TCGA-CN-A6V6	6.35E-01	3.85E-01	2.07E-01	9.47E-01	1.09E+00	9.27E-01	1.05E+00	1.06E+00	4.35E-01
TCGA-CN-A6V7	5.45E-01	5.42E-01	5.14E-02	8.99E-01	8.20E-01	3.78E-01	4.28E-01	5.87E-01	1.34E-01
TCGA-CQ-5323	4.88E-01	1.10E-01	4.40E-01	6.46E-01	7.72E-01	5.60E-01	3.97E-01	4.50E-01	3.72E-01
TCGA-CQ-5324	5.89E-01	3.60E-01	1.91E-01	1.02E+00	1.07E+00	5.35E-01	4.80E-01	7.12E-01	4.22E-01
TCGA-CQ-5325	3.57E-01	2.40E-01	9.33E-02	2.08E-01	6.17E-01	6.81E-01	5.23E-01	6.73E-01	8.61E-01
TCGA-CQ-5326	2.49E+00	2.59E+00	4.13E-01	1.00E+00	1.57E+00	8.77E-01	8.58E-01	1.09E+00	8.99E-01
TCGA-CQ-5327	2.81E+00	2.67E+00	3.92E-01	2.07E+00	2.25E+00	7.31E-01	5.28E-01	8.73E-01	5.73E-01
TCGA-CQ-5329	2.06E-01	0.00E+00	2.78E-01	7.36E-01	7.54E-01	4.42E-01	2.27E-01	3.64E-01	2.91E-01
TCGA-CQ-5330	4.50E-01	7.74E-02	3.16E-01	7.65E-01	6.78E-01	4.11E-01	3.99E-01	7.05E-01	5.15E-01
TCGA-CQ-5331	1.79E+00	1.93E+00	6.42E-01	6.61E-01	1.09E+00	6.03E-01	7.99E-01	6.14E-01	2.45E-01
TCGA-CQ-5332	8.12E-01	5.48E-01	7.41E-01	1.11E+00	1.47E+00	1.38E+00	1.35E+00	1.26E+00	1.07E+00
TCGA-CQ-5333	1.76E+00	2.10E+00	8.38E-01	1.29E+00	1.61E+00	1.28E+00	1.22E+00	5.80E-01	5.78E-01
TCGA-CQ-5334	1.24E+00	1.42E+00	6.49E-01	1.21E+00	1.36E+00	1.04E+00	9.58E-01	7.86E-01	5.50E-01
TCGA-CQ-6218	9.63E-01	9.25E-01	6.06E-01	9.74E-01	1.04E+00	9.41E-01	8.19E-01	7.38E-01	9.57E-01
TCGA-CQ-6219	4.33E-01	4.62E-01	0.00E+00	4.16E-01	5.75E-01	3.98E-01	4.97E-01	6.27E-01	5.86E-01
TCGA-CQ-6220	9.34E-01	8.09E-01	4.05E-01	9.57E-01	1.06E+00	7.08E-01	6.49E-01	8.28E-01	7.28E-01
TCGA-CQ-6221	9.03E-01	1.10E+00	5.67E-01	5.72E-01	9.31E-01	9.16E-01	1.06E+00	7.43E-01	7.58E-01
TCGA-CQ-6222	2.55E-01	2.20E-01	3.93E-01	7.49E-01	8.74E-01	5.17E-01	3.06E-01	4.37E-01	3.76E-01
TCGA-CQ-6223	3.45E-01	2.95E-01	7.34E-01	1.23E+00	1.36E+00	8.66E-01	7.95E-01	1.04E+00	3.11E-01
TCGA-CQ-6224	5.19E-01	1.54E-01	7.15E-02	1.18E+00	1.21E+00	6.64E-01	4.91E-01	5.64E-01	2.42E-01
TCGA-CQ-6225	6.51E-01	6.30E-01	8.39E-01	8.77E-01	1.25E+00	1.31E+00	1.01E+00	1.20E+00	1.12E+00
TCGA-CQ-6227	2.33E-01	3.36E-01	3.11E-01	6.75E-01	6.59E-01	5.26E-01	5.16E-01	5.70E-01	2.68E-01
TCGA-CQ-6228	5.99E-01	3.57E-01	6.25E-01	7.58E-01	1.17E+00	1.13E+00	1.05E+00	1.09E+00	9.55E-01
TCGA-CQ-6229	2.43E-01	2.00E-02	2.73E-01	6.27E-01	6.45E-01	3.67E-01	3.49E-01	3.46E-01	2.00E-01
TCGA-CQ-7063	1.56E+00	1.68E+00	3.90E-01	1.32E+00	1.53E+00	6.61E-01	4.93E-01	7.00E-01	2.49E-01
TCGA-CQ-7065	4.14E-01	1.12E-01	1.10E-01	5.80E-01	5.57E-01	4.66E-01	2.86E-01	6.69E-01	2.95E-01
TCGA-CQ-7068	9.49E-01	8.31E-01	5.81E-01	1.22E+00	1.18E+00	5.65E-01	5.62E-01	9.23E-01	3.01E-01
TCGA-CQ-7069	1.29E+00	1.39E+00	1.98E-01	4.70E-01	7.32E-01	5.36E-01	2.84E-01	4.90E-01	3.32E-01
TCGA-CQ-7071	6.29E+00	6.91E+00	8.52E-01	1.26E+00	3.80E+00	1.45E+00	1.33E+00	1.12E+00	2.36E-01
TCGA-CQ-7072	5.17E-01	2.65E-01	9.18E-01	7.37E-01	1.12E+00	1.30E+00	9.46E-01	1.23E+00	1.05E+00
TCGA-CQ-A4C6	1.27E+00	1.19E+00	2.83E-01	1.14E+00	1.10E+00	9.39E-01	6.36E-01	7.37E-01	4.86E-01
TCGA-CQ-A4C7	4.60E-01	2.25E-01	2.08E-01	5.30E-01	6.35E-01	6.52E-01	4.69E-01	6.00E-01	5.90E-01
TCGA-CQ-A4C9	5.30E-01	5.95E-01	3.91E-01	8.69E-01	1.11E+00	6.92E-01	7.47E-01	7.94E-01	7.67E-01
TCGA-CQ-A4CB	7.18E-01	6.00E-01	3.27E-01	9.48E-01	8.87E-01	7.45E-01	5.94E-01	1.04E+00	8.45E-01
TCGA-CQ-A4CD	1.61E+00	1.72E+00	6.48E-01	9.68E-01	1.22E+00	7.76E-01	8.24E-01	7.15E-01	6.03E-01
TCGA-CQ-A4CE	3.82E-01	3.51E-01	9.61E-02	1.06E+00	1.04E+00	8.34E-01	6.30E-01	7.13E-01	2.06E-01
TCGA-CQ-A4CG	4.98E-01	2.24E-01	9.01E-01	9.81E-01	1.14E+00	1.06E+00	7.57E-01	9.55E-01	3.19E-01
TCGA-CQ-A4CH	4.64E-02	0.00E+00	5.84E-02	1.63E-01	1.62E-01	1.16E-01	5.69E-02	1.72E-01	1.59E-01
TCGA-CQ-A4CI	5.09E-01	4.24E-01	8.44E-01	1.01E+00	1.21E+00	9.31E-01	8.97E-01	8.84E-01	4.99E-01
