Samples	SBS96A	SBS96B
TCGA-KU-A66S	1.48E+00	1.48E+00
TCGA-KU-A66T	6.21E-01	6.20E-01
TCGA-KU-A6H7	6.25E-01	6.25E-01
TCGA-KU-A6H8	1.54E-01	1.54E-01
TCGA-MT-A51W	5.44E-01	5.44E-01
TCGA-MT-A51X	4.10E-01	4.10E-01
TCGA-MT-A67A	6.29E-01	6.29E-01
TCGA-MT-A67D	7.15E-01	7.15E-01
TCGA-MT-A67F	1.60E-01	1.60E-01
TCGA-MT-A7BN	5.22E-01	5.22E-01
TCGA-MZ-A5BI	4.39E-01	4.39E-01
TCGA-MZ-A6I9	3.89E-01	3.89E-01
TCGA-MZ-A7D7	8.68E-01	8.68E-01
TCGA-P3-A5Q5	9.46E-01	9.46E-01
TCGA-P3-A5Q6	7.82E-01	7.82E-01
TCGA-P3-A5QA	3.11E-01	3.11E-01
TCGA-P3-A5QE	5.15E-01	5.15E-01
TCGA-P3-A5QF	6.61E-02	6.61E-02
TCGA-P3-A6SW	7.35E-01	7.35E-01
TCGA-P3-A6SX	9.58E-01	9.58E-01
TCGA-P3-A6T0	6.18E-01	6.18E-01
TCGA-P3-A6T2	5.43E-01	5.42E-01
TCGA-P3-A6T3	7.34E-01	7.35E-01
TCGA-P3-A6T4	8.75E-01	8.75E-01
TCGA-P3-A6T5	1.15E+00	1.15E+00
TCGA-P3-A6T6	9.74E-01	9.75E-01
TCGA-P3-A6T7	1.05E+00	1.05E+00
TCGA-P3-A6T8	4.81E-01	4.81E-01
TCGA-QK-A64Z	6.87E-01	6.87E-01
TCGA-QK-A652	3.68E-01	3.68E-01
TCGA-QK-A6IF	3.77E-01	3.77E-01
TCGA-QK-A6IG	8.68E-01	8.68E-01
TCGA-QK-A6IH	6.80E-01	6.80E-01
TCGA-QK-A6II	9.30E-01	9.30E-01
TCGA-QK-A6IJ	3.47E-01	3.48E-01
TCGA-QK-A6V9	8.52E-01	8.50E-01
TCGA-QK-A6VB	4.99E-01	4.99E-01
TCGA-QK-A6VC	8.55E-01	8.55E-01
TCGA-QK-A8Z7	5.39E-01	5.39E-01
TCGA-QK-A8Z8	7.67E-01	7.67E-01
TCGA-QK-A8Z9	7.96E-01	7.96E-01
TCGA-QK-A8ZA	8.23E-01	8.23E-01
TCGA-QK-A8ZB	7.37E-01	7.38E-01
TCGA-QK-AA3J	8.18E-01	8.18E-01
TCGA-QK-AA3K	6.07E-01	6.07E-01
TCGA-RS-A6TO	8.74E-01	8.74E-01
TCGA-RS-A6TP	7.34E-01	7.34E-01
TCGA-T2-A6WX	9.81E-01	9.81E-01
TCGA-T2-A6WZ	5.17E-01	5.17E-01
TCGA-T2-A6X0	4.60E-01	4.61E-01
TCGA-T2-A6X2	9.78E-01	9.78E-01
TCGA-T3-A92M	1.11E+00	1.11E+00
TCGA-T3-A92N	1.02E+00	1.02E+00
TCGA-TN-A7HI	5.88E-01	5.88E-01
TCGA-TN-A7HJ	6.80E-01	6.79E-01
TCGA-TN-A7HL	6.62E-01	6.61E-01
TCGA-UF-A718	4.36E-01	4.36E-01
TCGA-UF-A719	4.86E-01	4.86E-01
TCGA-UF-A71A	8.36E-01	8.36E-01
TCGA-UF-A71B	8.09E-01	8.09E-01
TCGA-UF-A71D	1.32E+00	1.32E+00
TCGA-UF-A71E	7.60E-01	7.61E-01
TCGA-UF-A7J9	1.18E+00	1.18E+00
TCGA-UF-A7JA	7.03E-01	7.02E-01
TCGA-UF-A7JC	4.17E-01	4.17E-01
TCGA-UF-A7JD	4.56E-01	4.59E-01
TCGA-UF-A7JF	6.98E-01	6.98E-01
TCGA-UF-A7JH	6.11E-01	6.11E-01
TCGA-UF-A7JJ	2.33E-01	2.33E-01
TCGA-UF-A7JK	5.05E-01	5.05E-01
TCGA-UF-A7JO	1.14E+00	1.14E+00
TCGA-UF-A7JS	5.85E-01	5.87E-01
TCGA-UF-A7JT	1.06E+00	1.06E+00
TCGA-UF-A7JV	4.99E-01	4.99E-01
TCGA-UP-A6WW	3.65E-01	3.68E-01
TCGA-WA-A7GZ	9.33E-01	9.33E-01
TCGA-WA-A7H4	5.12E-01	5.11E-01
