Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-QK-A8ZB	34	24	34	19
TCGA-QK-AA3J	49	4	18	71
TCGA-QK-AA3K	9	20	28	47
TCGA-RS-A6TO	72	21	58	21
TCGA-RS-A6TP	114	0	32	8
TCGA-T2-A6WX	158	10	45	11
TCGA-T2-A6WZ	17	15	34	33
TCGA-T2-A6X0	2	0	60	3
TCGA-T2-A6X2	370	22	11	28
TCGA-T3-A92M	282	53	17	27
TCGA-T3-A92N	75	2	70	39
TCGA-TN-A7HI	9	10	44	0
TCGA-TN-A7HJ	65	11	23	2
TCGA-TN-A7HL	685	5	56	13
TCGA-UF-A718	0	25	27	10
TCGA-UF-A719	0	25	56	42
TCGA-UF-A71A	18	49	48	106
TCGA-UF-A71B	22	20	38	77
TCGA-UF-A71D	52	255	115	104
TCGA-UF-A71E	11	49	97	37
TCGA-UF-A7J9	91	100	45	33
TCGA-UF-A7JA	76	45	19	47
TCGA-UF-A7JC	8	9	18	25
TCGA-UF-A7JD	0	35	39	41
TCGA-UF-A7JF	25	37	16	48
TCGA-UF-A7JH	7	31	41	5
TCGA-UF-A7JJ	1	29	7	17
TCGA-UF-A7JK	1	31	66	32
TCGA-UF-A7JO	65	16	92	5
TCGA-UF-A7JS	13	25	35	6
TCGA-UF-A7JT	124	28	67	0
TCGA-UF-A7JV	62	1	8	16
TCGA-UP-A6WW	1	6	32	6
TCGA-WA-A7GZ	91	30	54	54
TCGA-WA-A7H4	17	3	15	16
