Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-CV-7242	8.49E-01	1.70E+00	1.24E+00	1.79E+00
TCGA-CV-7243	5.07E-01	3.56E-01	8.85E-01	7.58E-01
TCGA-CV-7245	1.12E+00	2.68E+00	2.19E+00	3.28E+00
TCGA-CV-7247	5.35E-01	6.14E-01	8.43E-01	8.22E-01
TCGA-CV-7248	9.55E-01	1.71E+00	1.13E+00	1.43E+00
TCGA-CV-7250	5.52E-01	1.22E+00	1.09E+00	1.02E+00
TCGA-CV-7252	1.52E+00	9.56E-01	1.34E+00	1.84E+00
TCGA-CV-7253	4.87E-01	1.42E+00	1.37E+00	1.86E+00
TCGA-CV-7254	7.12E-01	1.66E+00	1.11E+00	1.62E+00
TCGA-CV-7255	4.43E-01	7.97E-01	8.31E-01	7.67E-01
TCGA-CV-7261	6.24E-01	7.40E-01	8.41E-01	7.52E-01
TCGA-CV-7263	3.60E-01	6.67E-01	1.35E+00	1.48E+00
TCGA-CV-7406	2.49E+00	5.79E-01	1.33E+00	2.62E+00
TCGA-CV-7407	6.11E-01	5.93E-01	1.24E+00	1.25E+00
TCGA-CV-7410	3.26E-01	2.76E-01	2.87E-01	2.04E-01
TCGA-CV-7411	7.74E-01	1.03E+00	9.24E-01	1.02E+00
TCGA-CV-7413	6.58E-01	4.74E-01	8.34E-01	5.44E-01
TCGA-CV-7414	1.59E+00	9.96E-01	1.46E+00	1.30E+00
TCGA-CV-7415	5.98E-01	5.05E-01	8.15E-01	6.49E-01
TCGA-CV-7416	6.86E-01	4.75E-01	8.23E-01	5.59E-01
TCGA-CV-7418	7.65E-01	1.11E+00	1.50E+00	1.81E+00
TCGA-CV-7421	5.45E-01	4.96E-01	7.00E-01	7.00E-01
TCGA-CV-7422	7.43E-01	9.82E-01	9.70E-01	9.32E-01
TCGA-CV-7423	4.93E-01	6.44E-01	6.31E-01	6.12E-01
TCGA-CV-7424	9.60E-01	1.11E+00	1.23E+00	1.14E+00
TCGA-CV-7425	7.53E-01	7.18E-01	9.10E-01	6.25E-01
TCGA-CV-7427	4.48E+00	6.80E-01	7.47E-01	4.64E+00
TCGA-CV-7429	4.91E-01	6.47E-01	5.67E-01	5.48E-01
TCGA-CV-7430	6.11E-01	1.22E+00	1.05E+00	1.31E+00
TCGA-CV-7432	6.31E-01	1.10E+00	1.26E+00	1.72E+00
TCGA-CV-7433	6.62E-01	7.76E-01	8.06E-01	7.67E-01
TCGA-CV-7434	4.40E-01	9.47E-01	6.98E-01	1.21E+00
TCGA-CV-7435	5.98E-01	5.46E-01	1.02E+00	1.11E+00
TCGA-CV-7437	6.45E-01	7.16E-01	9.55E-01	6.91E-01
TCGA-CV-7438	5.93E-01	6.65E-01	8.09E-01	7.90E-01
TCGA-CV-7440	6.57E-01	1.44E+00	9.67E-01	1.29E+00
TCGA-CV-7446	9.02E-01	1.06E+00	1.17E+00	1.21E+00
TCGA-CV-A45O	1.55E+00	4.62E-01	9.30E-01	1.69E+00
TCGA-CV-A45P	1.54E+00	7.69E-01	9.49E-01	1.36E+00
TCGA-CV-A45Q	1.88E+00	1.20E+00	1.31E+00	1.76E+00
TCGA-CV-A45R	3.35E-01	3.05E-01	8.38E-01	8.39E-01
TCGA-CV-A45T	0.00E+00	0.00E+00	1.71E-01	1.71E-01
TCGA-CV-A45U	1.85E+00	1.05E+00	9.99E-01	1.67E+00
TCGA-CV-A45V	8.21E-01	7.72E-01	9.73E-01	7.43E-01
TCGA-CV-A45W	1.39E+00	2.58E+00	1.83E+00	2.35E+00
TCGA-CV-A45X	5.88E-01	1.09E+00	1.07E+00	1.57E+00
TCGA-CV-A45Y	3.23E-01	4.86E-01	5.45E-01	5.95E-01
TCGA-CV-A45Z	1.16E+00	2.78E+00	1.76E+00	2.88E+00
TCGA-CV-A460	4.60E-01	6.29E-01	7.49E-01	7.32E-01
TCGA-CV-A461	1.32E+00	3.44E+00	1.96E+00	3.36E+00
TCGA-CV-A463	1.55E+00	8.62E-01	1.24E+00	1.77E+00
TCGA-CV-A464	1.97E-01	4.20E-01	4.94E-01	3.85E-01
TCGA-CV-A465	4.44E-01	4.37E-01	4.61E-01	3.19E-01
TCGA-CV-A468	5.09E-01	2.25E-01	1.32E+00	1.28E+00
TCGA-CV-A6JD	1.06E-01	5.37E-01	6.69E-01	5.77E-01
TCGA-CV-A6JE	1.03E+00	9.28E-01	1.10E+00	1.25E+00
TCGA-CV-A6JM	3.20E+00	1.26E+00	1.74E+00	3.35E+00
TCGA-CV-A6JN	3.54E-01	6.22E-01	9.69E-01	1.13E+00
TCGA-CV-A6JO	1.81E-01	4.00E-01	6.92E-01	7.79E-01
TCGA-CV-A6JT	4.42E-01	4.34E-01	5.62E-01	3.97E-01
TCGA-CV-A6JU	5.19E-01	1.36E+00	1.39E+00	2.11E+00
TCGA-CV-A6JY	3.78E-01	6.19E-01	6.78E-01	4.11E-01
TCGA-CV-A6JZ	3.86E-01	7.64E-01	1.21E+00	1.36E+00
TCGA-CV-A6K0	1.32E-01	7.23E-02	2.09E-01	1.66E-01
TCGA-CV-A6K1	1.19E+00	1.85E+00	1.92E+00	2.08E+00
TCGA-CV-A6K2	7.51E+00	1.02E+00	1.37E+00	7.82E+00
TCGA-CX-7082	5.80E-01	8.44E-01	1.09E+00	1.40E+00
TCGA-CX-7085	9.05E-01	3.72E-01	6.21E-01	9.93E-01
TCGA-CX-7086	1.33E+00	1.27E+00	1.58E+00	1.74E+00
TCGA-CX-7219	9.15E-01	7.75E-01	9.25E-01	7.77E-01
TCGA-CX-A4AQ	6.53E-01	7.48E-01	9.07E-01	9.00E-01
TCGA-D6-6515	3.75E-01	5.52E-02	5.61E-01	4.38E-01
TCGA-D6-6517	3.53E-01	7.54E-01	7.79E-01	8.75E-01
TCGA-D6-6823	4.89E-01	9.87E-01	1.18E+00	1.73E+00
TCGA-D6-6824	1.18E-01	3.80E-01	2.94E-01	4.10E-01
TCGA-D6-6825	5.51E-01	6.17E-01	8.27E-01	6.39E-01
TCGA-D6-6826	8.14E-01	7.39E-01	9.51E-01	7.80E-01
