Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-CV-7263	0	25	0	31	29	42
TCGA-CV-7406	57	168	0	0	0	0
TCGA-CV-7407	7	18	7	22	12	46
TCGA-CV-7410	16	1	2	1	1	0
TCGA-CV-7411	17	34	18	5	38	9
TCGA-CV-7413	6	24	14	32	0	4
TCGA-CV-7414	113	35	0	34	35	39
TCGA-CV-7415	25	16	5	13	15	4
TCGA-CV-7416	7	23	4	38	3	0
TCGA-CV-7418	26	0	0	3	129	15
TCGA-CV-7421	18	5	11	17	0	13
TCGA-CV-7422	22	14	28	30	33	11
TCGA-CV-7423	4	11	0	16	42	0
TCGA-CV-7424	44	24	42	57	16	12
TCGA-CV-7425	14	25	22	49	3	7
TCGA-CV-7427	315	191	0	0	0	0
TCGA-CV-7429	6	9	12	22	6	2
TCGA-CV-7430	3	25	38	32	0	28
TCGA-CV-7432	8	21	38	24	69	21
TCGA-CV-7433	25	18	20	10	9	21
TCGA-CV-7434	8	0	24	28	36	15
TCGA-CV-7435	5	23	4	0	20	33
TCGA-CV-7437	22	20	21	52	17	3
TCGA-CV-7438	30	2	12	41	0	17
TCGA-CV-7440	26	13	110	36	0	38
TCGA-CV-7446	38	30	33	22	10	33
TCGA-CV-A45O	37	103	0	5	0	0
TCGA-CV-A45P	80	61	11	29	0	0
TCGA-CV-A45Q	135	71	8	54	48	8
TCGA-CV-A45R	3	9	1	62	5	18
TCGA-CV-A45T	0	0	0	8	0	1
TCGA-CV-A45U	44	115	36	12	0	13
TCGA-CV-A45V	18	31	10	38	22	0
TCGA-CV-A45W	29	56	312	28	96	33
TCGA-CV-A45X	16	5	4	14	59	17
TCGA-CV-A45Y	7	0	7	9	8	10
TCGA-CV-A45Z	45	9	349	0	225	23
TCGA-CV-A460	7	8	7	21	13	17
TCGA-CV-A461	25	67	368	2	173	53
TCGA-CV-A463	65	109	11	62	0	4
TCGA-CV-A464	0	7	3	4	11	0
TCGA-CV-A465	6	4	1	14	11	0
TCGA-CV-A468	0	55	0	74	0	29
TCGA-CV-A6JD	0	15	12	57	15	0
TCGA-CV-A6JE	54	17	8	11	17	47
TCGA-CV-A6JM	96	237	9	0	0	0
TCGA-CV-A6JN	3	8	9	26	0	43
TCGA-CV-A6JO	2	0	0	37	26	0
TCGA-CV-A6JT	5	11	3	31	9	0
TCGA-CV-A6JU	6	2	5	0	104	23
TCGA-CV-A6JY	0	13	15	34	24	0
TCGA-CV-A6JZ	0	20	21	18	26	22
TCGA-CV-A6K0	0	2	0	3	2	0
TCGA-CV-A6K1	40	86	167	213	1	26
