Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-HD-7754	0	0	38	26	5
TCGA-HD-7831	2	5	16	5	8
TCGA-HD-7832	7	0	10	63	36
TCGA-HD-8224	8	15	29	0	21
TCGA-HD-8314	21	0	0	56	0
TCGA-HD-8634	12	9	21	17	4
TCGA-HD-8635	100	48	35	6	47
TCGA-HD-A4C1	78	1	40	104	5
TCGA-HD-A633	49	22	19	64	0
TCGA-HD-A634	0	15	22	7	0
TCGA-HD-A6HZ	28	14	48	0	0
TCGA-HD-A6I0	8	6	48	20	2
TCGA-IQ-7630	28	7	110	0	0
TCGA-IQ-7631	1	2	28	6	0
TCGA-IQ-7632	0	6	5	11	19
TCGA-IQ-A61E	106	4	30	43	5
TCGA-IQ-A61G	13	36	52	13	35
TCGA-IQ-A61H	42	10	44	20	33
TCGA-IQ-A61I	41	0	0	106	0
TCGA-IQ-A61J	0	10	24	0	5
TCGA-IQ-A61O	0	6	27	8	0
TCGA-IQ-A6SG	3	40	30	8	34
TCGA-IQ-A6SH	5	3	32	29	17
TCGA-KU-A66S	84	282	82	0	53
TCGA-KU-A66T	12	21	61	10	13
TCGA-KU-A6H7	77	0	0	73	0
TCGA-KU-A6H8	0	2	7	0	12
TCGA-MT-A51W	35	6	3	0	25
TCGA-MT-A51X	2	7	40	0	8
TCGA-MT-A67A	7	11	81	0	17
TCGA-MT-A67D	0	8	37	30	30
TCGA-MT-A67F	164	0	0	158	0
TCGA-MT-A7BN	8	9	38	11	1
TCGA-MZ-A5BI	5	4	23	0	3
TCGA-MZ-A6I9	6	3	18	1	2
TCGA-MZ-A7D7	56	24	14	0	43
TCGA-P3-A5Q5	191	0	9	117	0
TCGA-P3-A5Q6	26	13	40	19	43
TCGA-P3-A5QA	0	11	60	0	0
TCGA-P3-A5QE	9	5	30	0	1
TCGA-P3-A5QF	271	0	0	165	0
TCGA-P3-A6SW	16	2	17	26	9
TCGA-P3-A6SX	34	51	35	0	81
TCGA-P3-A6T0	7	6	62	4	23
TCGA-P3-A6T2	12	6	18	41	0
TCGA-P3-A6T3	67	3	29	24	0
TCGA-P3-A6T4	88	16	15	7	36
TCGA-P3-A6T5	73	4	45	99	17
TCGA-P3-A6T6	55	24	9	57	9
TCGA-P3-A6T7	43	10	57	0	41
