Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-CV-6955	9	9	3	22	0	18	22	2
TCGA-CV-6956	21	28	28	35	10	52	9	43
TCGA-CV-6959	5	0	12	29	0	18	5	0
TCGA-CV-6960	19	9	82	20	0	40	4	23
TCGA-CV-6961	309	315	17	7	0	0	0	0
TCGA-CV-6962	0	7	36	18	32	23	24	16
TCGA-CV-7089	71	49	5	2	0	0	5	36
TCGA-CV-7090	4	12	6	16	0	4	7	2
TCGA-CV-7091	11	17	0	16	3	57	16	17
TCGA-CV-7095	81	49	17	67	40	0	9	0
TCGA-CV-7097	8	10	0	27	0	20	5	17
TCGA-CV-7099	117	110	6	30	12	0	16	8
TCGA-CV-7100	0	2	0	5	0	5	2	0
TCGA-CV-7101	8	27	19	17	0	47	52	13
TCGA-CV-7102	45	31	4	17	29	24	14	4
TCGA-CV-7103	10	3	3	5	4	0	11	10
TCGA-CV-7104	10	22	0	18	9	57	0	0
TCGA-CV-7177	22	6	5	0	65	0	0	2
TCGA-CV-7178	21	15	5	31	0	15	47	0
TCGA-CV-7180	3	6	5	12	15	6	0	12
TCGA-CV-7183	0	12	21	22	0	3	7	0
TCGA-CV-7235	27	13	9	21	21	21	0	33
TCGA-CV-7236	0	3	2	20	0	0	22	0
TCGA-CV-7238	5	6	2	24	0	0	10	0
TCGA-CV-7242	21	15	147	20	49	50	12	32
TCGA-CV-7243	5	20	2	37	0	3	5	2
TCGA-CV-7245	21	23	194	30	30	212	35	54
TCGA-CV-7247	4	11	0	1	27	18	0	0
TCGA-CV-7248	17	31	175	1	0	27	53	8
TCGA-CV-7250	7	10	53	50	0	39	34	17
TCGA-CV-7252	30	69	4	66	9	41	19	18
TCGA-CV-7253	5	6	36	32	49	29	24	9
TCGA-CV-7254	13	15	108	13	0	87	34	7
TCGA-CV-7255	6	9	10	28	6	11	34	3
TCGA-CV-7261	13	11	28	30	0	0	31	1
TCGA-CV-7263	0	12	0	10	65	0	21	19
TCGA-CV-7406	50	135	8	23	1	0	5	3
TCGA-CV-7407	6	12	2	14	0	11	35	32
TCGA-CV-7410	13	3	2	0	2	0	1	0
TCGA-CV-7411	14	23	12	2	17	26	21	6
TCGA-CV-7413	5	16	10	22	0	0	27	0
TCGA-CV-7414	91	43	0	21	58	16	0	27
TCGA-CV-7415	20	15	6	9	13	2	12	1
TCGA-CV-7416	4	18	0	35	0	17	1	0
TCGA-CV-7418	25	0	0	1	40	55	43	9
TCGA-CV-7421	13	7	9	10	12	0	8	5
TCGA-CV-7422	19	13	26	20	44	6	6	4
TCGA-CV-7423	4	7	0	11	16	13	22	0
TCGA-CV-7424	36	24	36	42	16	3	35	3
TCGA-CV-7425	10	20	14	39	0	14	19	4
TCGA-CV-7427	284	222	0	0	0	0	0	0
TCGA-CV-7429	4	8	5	18	0	20	0	2
TCGA-CV-7430	2	17	36	27	0	0	22	22
TCGA-CV-7432	8	12	39	6	92	0	20	4
TCGA-CV-7433	19	17	12	9	0	23	4	19
TCGA-CV-7434	8	0	23	19	47	6	0	8
TCGA-CV-7435	4	15	2	1	0	19	18	26
TCGA-CV-7437	17	18	17	37	41	5	0	0
TCGA-CV-7438	24	9	10	32	0	0	14	13
TCGA-CV-7440	21	15	100	25	28	0	7	27
TCGA-CV-7446	31	25	27	8	55	0	1	19
TCGA-CV-A45O	29	74	0	7	35	0	0	0
TCGA-CV-A45P	64	60	12	33	0	12	0	0
TCGA-CV-A45Q	111	71	5	38	79	14	6	0
TCGA-CV-A45R	2	8	0	49	21	1	6	11
TCGA-CV-A45T	0	0	0	7	0	0	0	2
TCGA-CV-A45U	34	83	33	20	12	17	2	19
TCGA-CV-A45V	15	21	6	27	0	11	39	0
TCGA-CV-A45W	23	39	268	12	97	73	27	15
TCGA-CV-A45X	15	5	7	7	38	6	28	9
TCGA-CV-A45Y	8	0	5	6	0	4	10	8
TCGA-CV-A45Z	36	15	280	0	98	204	0	18
TCGA-CV-A460	5	7	3	17	12	14	0	15
TCGA-CV-A461	22	43	315	0	94	127	56	31
TCGA-CV-A463	51	83	5	59	0	24	18	11
TCGA-CV-A464	0	4	3	1	8	1	8	0
TCGA-CV-A465	5	4	0	11	8	8	0	0
TCGA-CV-A468	0	29	0	42	15	0	63	9
TCGA-CV-A6JD	0	11	9	47	9	6	17	0
TCGA-CV-A6JE	44	21	5	6	27	12	2	37
TCGA-CV-A6JM	76	175	6	13	11	37	18	6
TCGA-CV-A6JN	2	8	12	25	1	0	0	41
TCGA-CV-A6JO	2	0	0	31	21	11	0	0
TCGA-CV-A6JT	4	9	2	26	3	10	5	0
TCGA-CV-A6JU	8	0	11	0	0	31	74	16
TCGA-CV-A6JY	0	8	7	26	0	20	25	0
TCGA-CV-A6JZ	0	11	18	5	47	0	18	8
TCGA-CV-A6K0	0	1	0	3	0	3	0	0
TCGA-CV-A6K1	31	57	115	126	0	0	204	0
TCGA-CV-A6K2	389	382	1	1	0	0	0	0
TCGA-CX-7082	11	6	11	11	0	0	22	44
