Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-CV-A6JU	7.52E-01	6.00E-01	1.01E+00	7.98E-01	1.36E+00	1.51E+00	1.53E+00	1.16E+00
TCGA-CV-A6JY	1.11E-01	7.16E-01	7.46E-01	1.16E+00	1.10E+00	8.63E-01	1.05E+00	2.83E-01
TCGA-CV-A6JZ	2.22E-01	5.65E-01	7.69E-01	9.15E-01	1.40E+00	1.02E+00	1.27E+00	1.08E+00
TCGA-CV-A6K0	8.08E-02	1.17E-01	2.23E-02	1.93E-01	1.59E-01	1.59E-01	1.37E-01	1.05E-01
TCGA-CV-A6K1	1.14E+00	1.68E+00	2.39E+00	4.40E+00	3.85E+00	2.87E+00	5.20E+00	1.25E+00
TCGA-CV-A6K2	1.36E+01	1.35E+01	8.47E-01	1.18E+00	2.73E+00	1.62E+00	1.62E+00	3.62E-01
TCGA-CX-7082	5.17E-01	5.69E-01	5.41E-01	6.96E-01	1.08E+00	7.49E-01	1.02E+00	9.91E-01
TCGA-CX-7085	1.24E+00	1.30E+00	2.95E-01	5.88E-01	4.77E-01	2.67E-01	4.41E-01	2.39E-01
TCGA-CX-7086	1.69E+00	1.56E+00	1.25E+00	1.14E+00	1.57E+00	1.71E+00	1.72E+00	1.63E+00
TCGA-CX-7219	8.87E-01	9.97E-01	6.31E-01	9.65E-01	1.31E+00	1.06E+00	9.82E-01	6.91E-01
TCGA-CX-A4AQ	6.26E-01	7.32E-01	6.74E-01	9.11E-01	1.00E+00	7.57E-01	1.07E+00	9.38E-01
TCGA-D6-6515	2.35E-01	4.85E-01	0.00E+00	6.69E-01	5.26E-01	2.98E-01	5.88E-01	3.63E-01
TCGA-D6-6517	3.23E-01	3.71E-01	6.31E-01	7.60E-01	8.20E-01	7.51E-01	9.72E-01	8.01E-01
TCGA-D6-6823	4.15E-01	6.62E-01	6.01E-01	5.47E-01	1.30E+00	1.08E+00	1.23E+00	1.31E+00
TCGA-D6-6824	9.85E-02	1.74E-01	3.56E-01	9.64E-02	3.08E-01	3.69E-01	3.56E-01	2.48E-01
TCGA-D6-6825	3.43E-01	6.72E-01	6.04E-01	1.04E+00	1.16E+00	9.19E-01	9.31E-01	5.69E-01
TCGA-D6-6826	7.69E-01	8.19E-01	5.05E-01	1.09E+00	1.03E+00	9.43E-01	1.05E+00	5.35E-01
TCGA-D6-6827	0.00E+00	9.40E-02	8.77E-02	2.25E-01	3.47E-01	1.82E-01	4.22E-01	3.28E-01
TCGA-D6-8568	6.12E-01	6.87E-01	8.33E-01	7.68E-01	9.54E-01	1.12E+00	9.36E-01	8.18E-01
TCGA-D6-8569	3.60E-01	7.01E-01	1.00E+00	1.04E+00	1.39E+00	1.06E+00	1.41E+00	1.38E+00
TCGA-D6-A4Z9	3.48E-01	5.11E-01	8.23E-01	7.66E-01	1.13E+00	1.04E+00	1.18E+00	1.13E+00
TCGA-D6-A4ZB	7.89E-01	8.57E-01	7.15E-01	7.40E-01	9.79E-01	7.62E-01	7.96E-01	8.39E-01
TCGA-D6-A6EK	3.31E-01	9.79E-01	1.50E+00	1.19E+00	1.66E+00	1.65E+00	1.49E+00	1.23E+00
TCGA-D6-A6EM	1.63E-01	6.17E-01	6.60E-01	8.91E-01	1.16E+00	8.48E-01	9.24E-01	1.05E+00
TCGA-D6-A6EN	6.60E-01	7.45E-01	7.80E-01	1.06E+00	1.21E+00	8.57E-01	8.32E-01	4.15E-01
TCGA-D6-A6EO	5.08E-01	6.73E-01	7.48E-01	8.23E-01	1.10E+00	1.13E+00	1.18E+00	8.96E-01
TCGA-D6-A6EP	6.50E-01	6.28E-01	1.39E+00	6.72E-01	1.17E+00	1.33E+00	1.12E+00	9.09E-01
TCGA-D6-A6EQ	7.25E-01	6.85E-01	6.89E-01	7.58E-01	1.18E+00	7.09E-01	1.26E+00	5.26E-01
TCGA-D6-A6ES	2.63E+00	2.62E+00	8.15E-01	1.08E+00	1.18E+00	9.94E-01	1.15E+00	8.33E-01
TCGA-D6-A74Q	2.29E+00	2.22E+00	3.11E+00	1.39E+00	2.24E+00	3.68E+00	1.63E+00	1.17E+00
TCGA-DQ-5624	9.16E-01	9.83E-01	1.80E-01	7.68E-01	6.76E-01	4.15E-01	7.16E-01	5.03E-01
TCGA-DQ-5625	2.18E+00	2.14E+00	2.60E-01	9.15E-01	1.33E+00	9.58E-01	1.12E+00	1.28E+00
TCGA-DQ-5629	1.11E+00	1.05E+00	3.20E+00	1.28E+00	2.23E+00	3.48E+00	1.97E+00	1.49E+00
TCGA-DQ-5630	2.48E-01	2.76E-01	3.25E-01	7.13E-01	7.13E-01	4.96E-01	8.51E-01	5.21E-01
TCGA-DQ-5631	5.68E-01	7.30E-01	5.61E-01	1.22E+00	1.28E+00	1.13E+00	1.21E+00	4.80E-01
TCGA-DQ-7588	8.18E-01	9.00E-01	6.90E-01	5.60E-01	1.07E+00	9.33E-01	6.91E-01	9.61E-01
TCGA-DQ-7591	3.46E-01	4.24E-01	1.17E-01	6.19E-01	5.43E-01	3.32E-01	6.67E-01	4.73E-01
TCGA-DQ-7592	4.37E-01	5.42E-01	5.29E-01	8.14E-01	8.70E-01	8.07E-01	1.20E+00	7.14E-01
TCGA-DQ-7593	0.00E+00	1.97E-01	1.23E-01	5.20E-01	5.43E-01	3.76E-01	3.26E-01	1.98E-01
TCGA-DQ-7596	1.92E-01	9.74E-02	1.22E-01	4.12E-01	4.18E-01	2.24E-01	1.95E-01	2.13E-01
TCGA-F7-7848	1.07E+00	1.02E+00	3.56E+00	8.34E-01	2.61E+00	3.52E+00	2.05E+00	1.48E+00
