"","gene_name","n_syn","n_mis","n_non","n_spl","n_ind","wmis_cv","wnon_cv","wspl_cv","wind_cv","pmis_cv","ptrunc_cv","pallsubs_cv","pind_cv","qmis_cv","qtrunc_cv","qallsubs_cv","qind_cv","pglobal_cv","qglobal_cv"
"1494","ARL4C",0,1,0,0,0,1.51160915717437,0,0,0,0.720478458885471,0.796165776974256,0.905243248221162,1,0.926637239052618,0.878855561841508,0.944133487671733,1,0.995361651861882,0.999999897690459
"12928","PI4K2A",0,1,0,0,0,1.0304449404911,0,0,0,0.978394020693713,0.657255507663811,0.90527774297576,1,0.994413709756718,0.878855561841508,0.944133487671733,1,0.995365085212297,0.999999897690459
"8062","HOXB4",0,1,0,0,0,1.50171058170786,0,0,0,0.724549032895726,0.790921126434945,0.905300762317562,1,0.927350921460168,0.878855561841508,0.944133487671733,1,0.995367375654536,0.999999897690459
"1915","BCAP31",2,1,0,0,0,0.985396540267071,0,0,0,0.989044698741736,0.655677366096064,0.905372689202075,1,0.997084502103478,0.878855561841508,0.944133487671733,1,0.995374528663233,0.999999897690459
"226","AC012485.1",0,0,0,0,0,0,0,0,0,0.683385235262478,0.855834585069089,0.905401270524484,1,0.917283054627101,0.887808937258999,0.944133487671733,1,0.995377369441599,0.999999897690459
"3266","CCNB1",0,1,0,0,0,1.04670364589993,0,0,0,0.967176178230532,0.658691157409584,0.905405639930892,1,0.991606856806136,0.878855561841508,0.944133487671733,1,0.995377803649734,0.999999897690459
"7959","HLA-DQB1",2,1,0,0,0,0.981409711700075,0,0,0,0.986018947396901,0.655792124599972,0.905431595646732,1,0.996463050840615,0.878855561841508,0.944133487671733,1,0.995380382554665,0.999999897690459
"3271","CCND1",1,1,0,0,0,1.35291483109922,0,0,0,0.788180788227486,0.727534259236041,0.905441010471036,1,0.945492306725673,0.878855561841508,0.944133487671733,1,0.995381317807764,0.999999897690459
"12733","PDK2",0,1,0,0,0,1.16793109191428,0,0,0,0.890005916086971,0.67603070512045,0.905451344464885,1,0.974819214965019,0.878855561841508,0.944133487671733,1,0.995382344256949,0.999999897690459
"5521","EFCAB4A",0,1,0,0,0,1.04644704238475,0,0,0,0.967351530928291,0.65906431455085,0.905626062323128,1,0.991606856806136,0.878855561841508,0.944133487671733,1,0.995399680682132,0.999999897690459
"231","AC013469.1",0,0,0,0,0,0,0,0,0,0.670389015202808,0.895107893157948,0.905656690010443,1,0.913026017428776,0.909644768579077,0.944133487671733,1,0.995402716249905,0.999999897690459
"12804","PEX26",1,1,0,0,0,1.15120937396261,0,0,0,0.898498480613968,0.67316639870789,0.905737582561054,1,0.977195527202687,0.878855561841508,0.944133487671733,1,0.995410728682591,0.999999897690459
"9748","LRFN1",0,2,0,0,0,1.24619008868334,0,0,0,0.798128795417227,0.724314668825688,0.90574414296374,1,0.948284568384631,0.878855561841508,0.944133487671733,1,0.995411378175822,0.999999897690459
"6220","FAM27A",0,0,0,0,0,0,0,0,0,0.668671872816797,0.903121716275034,0.905886800478768,1,0.912965450000834,0.915054637232422,0.944133487671733,1,0.995425489809891,0.999999897690459
"2846","CA7",1,1,0,0,0,1.21685270689861,0,0,0,0.859789061331654,0.687488426209304,0.905887190122295,1,0.966844018770947,0.878855561841508,0.944133487671733,1,0.995425528322534,0.999999897690459
"17979","TNFSF14",1,1,0,0,0,1.10675231070026,0,0,0,0.926454887884269,0.666200227409247,0.905929553780599,1,0.983249278402684,0.878855561841508,0.944133487671733,1,0.995429714576938,0.999999897690459
"11387","NIPA1",0,1,0,0,0,1.45028158058115,0,0,0,0.746370977135438,0.767086107589445,0.905940727695439,1,0.933162138455987,0.878855561841508,0.944133487671733,1,0.995430818420766,0.999999897690459
"11471","NMRAL1",1,1,0,0,0,1.38477774163864,0,0,0,0.772907227264789,0.740888810428824,0.905965097422151,1,0.940486008962649,0.878855561841508,0.944133487671733,1,0.995433225368648,0.999999897690459
"7911","HIST1H4A",0,1,0,0,0,1.60281269019377,0,0,0,0.684806425771518,0.861530207785292,0.906016072279433,1,0.917897676361495,0.890006245896366,0.944133487671733,1,0.99543825793102,0.999999897690459
"3254","CCL3L1",0,0,0,0,0,0,0,0,0,0.672826456625223,0.889179324250956,0.906034421049525,1,0.913358475905844,0.906091590765163,0.944133487671733,1,0.995440068736411,0.999999897690459
"2125","BSN",3,9,1,0,0,0.901422323399871,1.44909880169274,1.44909880169274,0,0.833559496717331,0.739488069073707,0.906102853635466,1,0.959276197075718,0.878855561841508,0.944133487671733,1,0.995446818941565,0.999999897690459
"15249","SAC3D1",0,1,0,0,0,1.51006579014181,0,0,0,0.721110460149502,0.798063670846631,0.906130593793127,1,0.926637239052618,0.878855561841508,0.944133487671733,1,0.99544955376457,0.999999897690459
"6535","FHL1",1,1,0,0,0,1.0399569117673,0,0,0,0.971350498556196,0.65933241182152,0.906188173926014,1,0.992430624544177,0.878855561841508,0.944133487671733,1,0.995455227714792,0.999999897690459
"826","AL022328.1",0,0,0,0,0,0,0,0,0,0.672140282313321,0.892793504170016,0.906231828840832,1,0.913047357130287,0.908291172818474,0.944133487671733,1,0.995459527034603,0.999999897690459
"7711","HAVCR2",1,1,0,0,0,0.96841945190075,0,0,0,0.97633805670346,0.657384810281183,0.906243847032886,1,0.994099505546143,0.878855561841508,0.944133487671733,1,0.995460710267592,0.999999897690459
"2938","CAMKV",0,1,0,0,0,0.905811904999638,0,0,0,0.92783849541466,0.661462519029111,0.906274575749245,1,0.983537515420575,0.878855561841508,0.944133487671733,1,0.995463734892335,0.999999897690459
"296","AC055736.1",0,0,0,0,0,0,0,0,0,0.669024799416243,0.904722361563285,0.906291009661163,1,0.913026017428776,0.91589121063025,0.944133487671733,1,0.99546535205317,0.999999897690459
"6758","FST",0,1,0,0,0,1.05614885117453,0,0,0,0.960758999874084,0.661353015440503,0.906423229170848,1,0.990128760936272,0.878855561841508,0.944133487671733,1,0.995478352123928,0.999999897690459
"7718","HBE1",1,1,0,0,0,0.876296774729417,0,0,0,0.90173792410462,0.667333067178917,0.906488688348206,1,0.977913021331421,0.878855561841508,0.944133487671733,1,0.995484781055248,0.999999897690459
"3356","CD300C",0,1,0,0,0,1.30302121806821,0,0,0,0.815757523835525,0.712368065995593,0.906522500726678,1,0.952483548054835,0.878855561841508,0.944133487671733,1,0.995488100013308,0.999999897690459
"10885","MTRNR2L8",0,0,0,0,0,0,0,0,0,0.673915724475439,0.888708210307678,0.906529210836089,1,0.913667644269927,0.905834805660978,0.944133487671733,1,0.99548875851477,0.999999897690459
"4423","CT45A2",0,0,0,0,0,0,0,0,0,0.674429311619548,0.887102007210544,0.90654179607231,1,0.913747339655293,0.904846749599788,0.944133487671733,1,0.995489993442133,0.999999897690459
"7496","GRHPR",1,1,0,0,0,1.0190700167307,0,0,0,0.986151626776227,0.658790631676099,0.906599828129739,1,0.996467954210189,0.878855561841508,0.944133487671733,1,0.995495685582414,0.999999897690459
"10267","MDFIC",0,1,0,0,0,0.956094275835895,0,0,0,0.967399249353485,0.658394240529085,0.906677290966176,1,0.991606856806136,0.878855561841508,0.944133487671733,1,0.995503277824208,0.999999897690459
"12999","PIP",2,1,0,0,0,1.14217250528195,0,0,0,0.90302278155973,0.673182426435985,0.90671134640689,1,0.977990989752978,0.878855561841508,0.944133487671733,1,0.995506613551573,0.999999897690459
"12406","PABPC1L2B",0,0,0,0,0,0,0,0,0,0.667245721765317,0.915780907078758,0.906739380649285,1,0.91236666047277,0.923827786910993,0.944133487671733,1,0.995509358543237,0.999999897690459
"12666","PCYOX1L",1,1,0,0,0,0.849083541562477,0,0,0,0.877990923867262,0.674314397066323,0.906760369961366,1,0.972665391768883,0.878855561841508,0.944133487671733,1,0.995511413158416,0.999999897690459
"12866","PGS1",0,1,0,0,0,0.956447918964367,0,0,0,0.967668892520118,0.658555261155882,0.906772578680133,1,0.991666117731576,0.878855561841508,0.944133487671733,1,0.995512608029781,0.999999897690459
"7964","HLA-E",1,1,0,0,0,1.00677445875108,0,0,0,0.995043274553242,0.658601534011857,0.906774588227932,1,0.998871511394483,0.878855561841508,0.944133487671733,1,0.995512804689137,0.999999897690459
"610","ADC",0,1,0,0,0,0.983118039969168,0,0,0,0.987671147327343,0.658214054629311,0.906777740743652,1,0.996985258455926,0.878855561841508,0.944133487671733,1,0.995513113193209,0.999999897690459
"6028","FAM115C",2,1,0,0,0,1.31376395584029,0,0,0,0.805791243816264,0.717490065469674,0.906790868774667,1,0.950208113572704,0.878855561841508,0.944133487671733,1,0.995514397779825,0.999999897690459
"8270","IDH2",1,1,0,0,0,0.953697631457886,0,0,0,0.964986787409626,0.658970595342815,0.906856420772761,1,0.990987050294593,0.878855561841508,0.944133487671733,1,0.995520809242847,0.999999897690459
"11491","NODAL",0,1,0,0,0,1.2884203985086,0,0,0,0.823254656834751,0.708761574312128,0.906920609093442,1,0.955319589171216,0.878855561841508,0.944133487671733,1,0.995527082736697,0.999999897690459
"14728","RP11-1026M7.2",0,0,0,0,0,0,0,0,0,0.670382682083664,0.904626193728129,0.906997829605876,1,0.913026017428776,0.915840002932318,0.944133487671733,1,0.995534623921462,0.999999897690459
"7073","GHDC",0,1,0,0,0,0.988527232279324,0,0,0,0.991649078496512,0.658698740726283,0.907017832367768,1,0.997842647980631,0.878855561841508,0.944133487671733,1,0.995536576274934,0.999999897690459
"15564","SERPINB9",0,1,0,0,0,1.06154747435958,0,0,0,0.957123488525219,0.663113811526796,0.907109324066757,1,0.989939150988941,0.878855561841508,0.944133487671733,1,0.995545500625436,0.999999897690459
"17027","SYNE4",0,1,0,0,0,1.10925839628096,0,0,0,0.925986308003491,0.669419952131195,0.90733349420686,1,0.983249278402684,0.878855561841508,0.944133487671733,1,0.995567327791697,0.999999897690459
"342","AC092782.1",0,0,0,0,0,0,0,0,0,0.692279432754644,0.844596406994965,0.907373919347684,1,0.91918130511646,0.884277341677272,0.944133487671733,1,0.995571258042357,0.999999897690459
"10840","MTG1",0,1,0,0,0,1.1392830913475,0,0,0,0.907267921385456,0.674329728545576,0.907381775744616,1,0.978678772445869,0.878855561841508,0.944133487671733,1,0.995572021655267,0.999999897690459
"12411","PABPN1",0,1,0,0,0,1.14180830499351,0,0,0,0.905723252071056,0.674822669803612,0.90740877629434,1,0.978678772445869,0.878855561841508,0.944133487671733,1,0.99557464549087,0.999999897690459
"15537","SERINC2",0,1,0,0,0,1.12085771122095,0,0,0,0.918677046650845,0.671364137661536,0.907430472785476,1,0.981076826021974,0.878855561841508,0.944133487671733,1,0.995576753311163,0.999999897690459
"4051","CNTFR",0,1,0,0,0,0.941879271688758,0,0,0,0.956463063868092,0.660460601105705,0.907460513727881,1,0.989939150988941,0.878855561841508,0.944133487671733,1,0.995579670940879,0.999999897690459
"8651","ISOC1",1,1,0,0,0,1.03358286130123,0,0,0,0.975827406539422,0.661260986107579,0.907505574482343,1,0.993993768935067,0.878855561841508,0.944133487671733,1,0.995584045456825,0.999999897690459
"11851","ODF4",0,1,0,0,0,1.31018373928373,0,0,0,0.812123303351993,0.716791386971587,0.90753019030007,1,0.951153881691882,0.878855561841508,0.944133487671733,1,0.995586434225205,0.999999897690459
"5124","DLX3",1,1,0,0,0,0.84172990869823,0,0,0,0.871431964307837,0.678013639299048,0.907556591706887,1,0.970038812318316,0.878855561841508,0.944133487671733,1,0.995588995528652,0.999999897690459
"8220","HTR5A-AS1",3,1,0,0,0,1.11964841043683,0,0,0,0.916614277184816,0.670826299775182,0.907559421214735,1,0.981019467447269,0.878855561841508,0.944133487671733,1,0.995589269984677,0.999999897690459
"6459","FDFT1",0,1,0,0,0,1.04802414310849,0,0,0,0.966274653843206,0.662779781728484,0.907615308000179,1,0.991606856806136,0.878855561841508,0.944133487671733,1,0.99559468907187,0.999999897690459
"11887","OOEP",1,1,0,0,0,0.923572493093329,0,0,0,0.941098249826173,0.662562724606677,0.907656229210432,1,0.986815285061889,0.878855561841508,0.944133487671733,1,0.995598654832979,0.999999897690459
"10636","MPST",1,1,0,0,0,0.814151705068854,0,0,0,0.846280642336656,0.688000056005078,0.907720717331876,1,0.962994131467249,0.878855561841508,0.944133487671733,1,0.995604900768755,0.999999897690459
"4864","DDOST",0,1,0,0,0,0.955051965039644,0,0,0,0.966603834463964,0.660474944896289,0.907801381087836,1,0.991606856806136,0.878855561841508,0.944133487671733,1,0.995612706930899,0.999999897690459
