feature	coef	exp(coef)	zscore	p	lower 95%	upper 95%	q
NR4A1|3164	0.04935934537886062	1.0505978103849798	0.9767622460276059	0.3286868709273953	0.9515293408243308	1.1599807928460788	0.6840517605148706
COL7A1|1294	-0.06456707813684255	0.9374732281954461	-0.9733799438717842	0.33036450312422194	0.8231827084641878	1.0676318204288728	0.6846932707237761
RPL38|6169	0.08113696979519253	1.0845194327986323	0.9746971579834932	0.3297105031198366	0.9212564598322712	1.2767154982359732	0.6846932707237761
ZDHHC5|25921	0.15632557946091968	1.1692068108506526	0.9735974563143689	0.33025644982909247	0.8535289277524726	1.601638236373874	0.6846932707237761
CP|1356	-0.02272103308002224	0.977535145708447	-0.9749617707187809	0.32957922346917123	0.9338895644208948	1.0232205150378644	0.6846932707237761
LAMA5|3911	-0.09766799568354889	0.906949965077537	-0.9723570661537662	0.33087294317132887	0.7448773149889271	1.1042868706054947	0.6850371494230412
FLII|2314	0.1475538995025052	1.1589957524407115	0.971613995031634	0.33124261751776035	0.8606257768619655	1.5608074848437365	0.6850933144110866
HMGB2|3148	0.08358081865790787	1.0871730756113376	0.9631723597125482	0.3354610336145796	0.9171372142660018	1.2887333301376753	0.6931013091210322
CTSB|1508	0.08773587557234444	1.091699739376588	0.9609538085560426	0.3365753936643922	0.9128255835106418	1.3056254584488383	0.6946860550348652
CYP2S1|29785	0.044960180921169615	1.045986208872163	0.9598620811223924	0.33712463253903163	0.9542352694082246	1.1465591183076533	0.695102335132024
SOX2|6657	-0.028088030942767066	0.9723027703042071	-0.9583550652172264	0.3378837456290268	0.918023947509395	1.0297908673363456	0.6952461697870159
DCUN1D5|84259	0.0650927161269158	1.0672579718226776	0.9583433749799177	0.33788963851648973	0.9342303929705359	1.2192277054884668	0.6952461697870159
MFN2|9927	0.14619589416739065	1.157422898239439	0.9567601274521365	0.3386883416861661	0.8578786362457093	1.561558603710576	0.695646718106485
PLUNC|51297	-0.024388827524888107	0.975906176793014	-0.9545142061937235	0.33982342179501795	0.9282372335650187	1.0260231236846271	0.695646718106485
