,gene,cluster,t_stat,p_val,log2fc,mean_cluster,mean_others,corrected_p_val
1386,2201,1,4.515085759835012,1.5137427545401285e-05,1.1608296576608073,9.327057386012164,8.166227728351357,6.325381058407431e-05
1464,3624,1,4.136352342552536,6.711312652160567e-05,1.0347033752989212,9.838298209148002,8.80359483384908,0.00024195809471511736
1475,94031,1,8.918749408516387,6.588148131654231e-15,1.4316327665633484,10.966215853630057,9.534583087066709,1.3479586970136535e-13
1483,127294,1,11.915899242378543,7.106871684592133e-23,2.541148530735094,9.463960328276972,6.922811797541878,4.043030335428331e-21
1488,5396,1,7.433132164273628,1.420144205617808e-11,1.0791686793563304,10.912229031435762,9.833060352079432,1.7614191697585216e-10
1490,11117,1,8.766747104687125,2.463328586746523e-14,1.4888865697369411,10.803669683653911,9.31478311391697,4.69764688771685e-13
1534,389125,1,18.99794063698667,2.211260918545549e-37,4.291769081225486,9.081447756982312,4.789678675756826,5.202966867165997e-35
1548,2162,1,11.203256901098149,4.0539246124339136e-20,2.171637459661799,10.457889742630835,8.286252282969036,1.6290308140847153e-18
1566,23452,1,9.207269664716122,2.5959743765592746e-15,1.2956527749479694,11.145859263115327,9.850206488167357,5.6587997309193997e-14
1575,54829,1,7.5800679014574905,1.9383968204940506e-11,1.8630037640221229,10.176298695216136,8.313294931194013,2.331905949466527e-10
1619,57124,1,6.93898999863766,2.9857405573550104e-10,1.0808821511155102,10.534869978127839,9.453987827012329,3.0389216868753285e-09
1624,6271,1,18.722738684282643,2.0986955863155764e-37,3.5747902470872255,8.81123595809491,5.2364457110076845,5.011810355380481e-35
1655,2719,1,4.973407867133569,2.3488516383770993e-06,1.4677392383067165,7.420074307778595,5.952335069471879,1.1671312488830306e-05
1696,25903,1,8.36608982390081,2.2202810965709046e-13,1.3157719193016089,10.514692913630007,9.198920994328398,3.681295082397355e-12
1777,5224,1,10.767906663459502,4.03621935265555e-18,2.129885469804198,7.212239019614281,5.082353549810083,1.2467086803569267e-16
1794,56265,1,6.833227122463806,4.500881333472949e-10,1.1700436980149362,9.235411905870812,8.065368207855876,4.448060613685434e-09
1817,27063,1,21.880857798153535,1.435397540714954e-51,5.555060561041712,9.414646038084873,3.859585477043162,9.985374196277941e-49
1826,6387,1,9.195628042337168,1.2738082328041783e-15,1.561438309297877,9.946241970790561,8.384803661492684,2.911561674980979e-14
1850,22998,1,11.44766900422084,7.526676642829307e-22,1.699251778126488,9.833494672433662,8.134242894307175,3.798953510576306e-20
1864,1009,1,7.511506167518227,1.8557749217134182e-11,1.5358571486807548,10.611674560149593,9.075817411468838,2.2392457577235813e-10
1870,4621,1,18.468765381986252,3.386427810328384e-38,4.084411811483575,9.965585369203005,5.88117355771943,8.882433600861335e-36
1871,4208,1,16.79570034427873,1.313107324605792e-32,2.4997399326966514,10.23412857640003,7.734388643703379,2.059776195460066e-30
1883,4634,1,16.914428414244593,5.033803709148449e-31,4.520200006070191,6.550737102184981,2.030537096114791,6.548037345233754e-29
1915,4239,1,6.025148119903346,2.2157022011764912e-08,1.3145894828104883,9.056726702479859,7.74213721966937,1.651198659470138e-07
1933,1300,1,8.00233249755504,1.3287577455705936e-12,2.1172032674281116,9.754670995937454,7.637467728509343,1.9531697460640624e-11
1934,347,1,12.410737691936424,2.2373972029503065e-24,2.1847505387296255,9.135527571656613,6.950777032926988,1.5839980197878277e-22
1947,115908,1,8.361214096146565,1.4292900198494174e-13,1.338561935707288,10.568828446961767,9.230266511254479,2.4484625607698796e-12
1953,1306,1,7.499834249687051,1.7294936505460884e-11,1.1428597564371987,10.773161927840315,9.630302171403116,2.102727842609226e-10
1971,147111,1,5.343637801755482,5.191085146593581e-07,1.1166138569736024,5.729028613767026,4.612414756793424,2.9663343694820464e-06
1982,1760,1,11.540080668953099,7.37480783175751e-20,1.4127918507881994,10.380083706450337,8.967291855662138,2.850167277973917e-18
1999,1339,1,22.62916454457165,2.8704474054872076e-47,5.589451898525622,7.68610933685463,2.0966574383290077,1.530905282926511e-44
2000,3861,7,4.3741996798849065,5.340059521234634e-05,1.080276163921578,18.544171006309575,17.463894842387997,0.00019741440004564264
2018,2335,7,5.5298590219249695,1.6484145945761622e-06,1.3791798582447221,15.580618056866676,14.201438198621954,8.429093484569702e-06
2027,4620,7,3.462358377513161,0.001117036874774637,1.8609294754649452,6.751244784064982,4.890315308600036,0.0030323362735653527
2037,58,7,6.743827091057351,4.363401232691328e-09,2.5186025314219123,8.683791948670677,6.165189417248765,3.653292502514979e-08
2054,1158,7,4.729586548656717,1.4775329990124125e-05,1.7507761505717205,7.803372859420264,6.052596708848544,6.193483883730312e-05
2056,4625,7,6.648840861627178,9.692764518520712e-09,2.5926942715626398,7.497490861241657,4.904796589679017,7.669843338097498e-08
2057,1674,7,9.409764468433668,2.227647347001049e-14,3.3228345442945164,10.818814960429913,7.495980416135397,4.2942599460261185e-13
2058,3918,7,9.95990005479209,2.0591898350920583e-13,1.7546043205559751,15.892394594051563,14.137790273495588,3.439147950049367e-12
2075,1308,7,7.322317711896966,3.0608731604054765e-09,1.6554485064847242,15.594138447757114,13.93868994127239,2.6315943345775188e-08
2082,3371,7,4.0763900151065995,0.0002071991354630584,1.0287123195925876,14.640706386792854,13.611994067200266,0.0006637009344162031
2087,7045,7,9.271627083401045,1.2947064323896644e-12,1.5728008659510913,15.01910392854099,13.446303062589898,1.9074864565593583e-11
2088,4312,7,5.00172144233574,1.0641727226045744e-05,1.6281565114529286,13.923549350440686,12.295392838987757,4.613048919445459e-05
2118,4604,7,4.226901334820437,7.882209229224477e-05,1.6447734966338583,6.757481253154536,5.1127077565206775,0.00027975897885446234
2126,3655,7,6.117009320191833,2.900999478336145e-07,1.027239274890741,14.890156970531498,13.862917695640757,1.7371254361294281e-06
2130,4502,7,8.173567137742458,3.0851016051654797e-10,1.7635491971784454,14.245430407166788,12.481881209988343,3.1340714719141384e-09
2148,4322,7,2.8147209861781506,0.007601715166209687,1.3840596304233266,10.482638605654556,9.098578975231229,0.016661293514980136
2150,3909,7,7.8521719504880245,8.140490520340922e-10,1.654913171419853,14.310711610958075,12.655798439538222,7.675182576632572e-09
2182,5054,7,8.765019138255676,7.06387894321805e-12,1.5231414298468504,13.737192794187065,12.214051364340214,9.218765341883263e-11
2216,4319,7,5.786307258930901,6.841918538558328e-07,2.010731713344356,11.664357931263734,9.653626217919378,3.806352455387109e-06
2228,4619,7,6.093144669668272,1.1469046084188068e-07,2.7466151213351413,7.14807564782256,4.401460526487419,7.402369396813597e-07
2229,4632,7,9.640225565218227,5.209496552838574e-15,3.3824182892151144,7.724988409070655,4.342570119855541,1.0810887787991851e-13
2230,10324,7,6.863261819622127,3.447229384017965e-09,2.2589912733457274,7.633494026524545,5.374502753178818,2.9369366424008223e-08
2234,4633,7,7.604340629949511,1.0930647190798824e-10,2.728237576244159,7.197357693011892,4.469120116767733,1.1800968627043266e-09
2240,4892,7,4.130069503466826,0.00013340885955177755,1.8531087049874424,6.019218562042958,4.166109857055516,0.00044824480319790867
2245,88,7,6.37342357453595,1.7203605299975477e-08,2.1581846904598203,7.279497278841896,5.121312588382076,1.306396225911759e-07
2249,8557,7,3.8883417309552923,0.0002851518639151,1.4413854728955204,6.618495384161296,5.1771099112657755,0.0008852211530154442
2255,3675,7,8.626889516159341,2.5570347346012418e-11,1.1984707460531183,14.304002342944917,13.1055315968918,3.01937680838523e-10
2258,7057,7,6.65067962320913,4.699542676759907e-08,1.4217803110354463,13.416396955736158,11.994616644700711,3.288910846463287e-07
2278,857,7,10.310797467526516,7.639980624763208e-14,1.6530495199880413,14.076843082881465,12.423793562893424,1.3552072061664227e-12
2279,7140,7,6.642126371782071,7.149919543204975e-09,2.0285507715514246,8.82956816574586,6.801017394194435,5.7894085370080764e-08
2286,3956,7,6.867854963626635,1.804602009253843e-08,1.0489723424096784,13.586265933263586,12.537293590853908,1.364874766301067e-07
2309,129446,7,4.14787195088974,0.00012006050820110975,1.7653233308655825,5.795248655212879,4.029925324347296,0.000408803603153385
2310,7135,7,4.874381205588399,8.873243592862206e-06,1.2089114385884319,8.985553239513788,7.776641800925356,3.914306520148754e-05
2350,1114,7,4.081059688043462,0.00019134822675432082,1.839810195913481,7.145143859205054,5.305333663291573,0.0006189995204345194
2354,87,7,10.019770918436544,7.952285564961725e-13,1.259805577284963,14.279356525094757,13.019550947809794,1.2117768479941675e-11
2393,70,7,11.665792352170207,5.629806519716093e-20,3.886339520891716,9.743089142957212,5.856749622065496,2.224121094208827e-18
2413,5328,7,7.705910614446013,1.1014013907039846e-09,1.167824378973517,13.494108746654204,12.326284367680687,1.0169394932024491e-08
2419,7125,7,4.621754934165935,2.2225483140458635e-05,1.4108742481473557,6.2091610829973325,4.798286834849977,8.959630391719279e-05
2448,4606,7,5.42797107562607,1.3502060417022786e-06,2.012997414301414,7.087637954647679,5.074640540346265,7.032323133866034e-06
2471,55959,7,5.929281386734425,4.744077841433575e-07,1.014900073332372,13.292976339647076,12.278076266314704,2.7250897782397628e-06
2475,7134,7,7.401917151374543,2.914753865444967e-10,2.3149084738854757,7.311713503638406,4.99680502975293,2.97423863820915e-09
2476,2152,7,4.178004660515787,0.0001628515497254922,1.1534780011907824,12.339099989195583,11.185621988004801,0.0005349896737536962
2498,4314,7,4.4629626179796125,5.8665915491648597e-05,1.5787910898741817,11.14557260791769,9.566781518043507,0.00021445159878144337
2521,5744,7,6.409630993260043,5.407055520256559e-08,1.4551270277042452,12.464159048388499,11.009032020684254,3.7338320381573127e-07
2529,25818,7,3.127393457853615,0.0031733248659820243,1.454424853217068,10.39992744518902,8.945502591971952,0.007692908766017029
2548,9119,7,2.4102047805721747,0.020711365588030342,1.1204365062698525,9.603630473602703,8.48319396733285,0.04029448557982557
2550,341208,7,3.1131387272070383,0.0034495065031221813,1.422391112620927,10.74080410537937,9.318412992758443,0.008292082940197551
2564,1464,7,5.355237137722308,3.925065120256941e-06,1.4727546692870543,12.335181902112392,10.862427232825338,1.8613231157116495e-05
2574,3678,7,9.791220580705192,4.0627555150576176e-13,1.3101282099362006,13.09616652681936,11.78603831688316,6.481096145234843e-12
2614,29895,7,10.76139729932399,4.010477916458987e-17,3.140999412826061,7.363200670232447,4.222201257406386,1.1074456664899587e-15
2638,165904,7,4.189143327428967,0.0001194216791502089,1.274791010073491,6.934928016028026,5.660137005954535,0.00040688817427669133
2645,5270,7,5.6383537593185284,1.677364478552269e-06,1.4503415790000673,12.108749216198127,10.65840763719806,8.552755721633352e-06
2650,10202,7,2.624842792060058,0.01257654242645982,1.1074225602619823,6.597161891310108,5.489739331048126,0.02596112486432165
2682,4052,7,4.912285178020887,1.785686036116526e-05,1.166947560463658,12.577632741727738,11.41068518126408,7.354176725319025e-05
2703,11098,7,7.504505458968531,4.310441900460971e-09,1.4451788390264912,12.500060583619714,11.054881744593223,3.616521783291847e-08
2723,27129,7,5.637151360945383,6.542839216548151e-07,1.7883934700365556,7.491076673980407,5.7026832039438515,3.657771749293166e-06
2734,57451,7,4.73478032898087,2.0550341506291756e-05,1.233671089090958,12.098376817511301,10.864705728420343,8.349554700372476e-05
2770,10345,7,4.474543289539686,3.728109235211741e-05,1.5195493522439305,5.368009366239643,3.8484600139957124,0.00014307927024079603
2800,8048,7,8.07665272439809,1.7211614209575642e-11,2.8947139461363385,6.710934977813575,3.8162210316772365,2.0941888011650972e-10
2838,6588,7,5.435367100569562,1.1164085221329927e-06,1.7959581673776865,6.219042148565339,4.423083981187652,5.914747137128438e-06
2916,4608,7,11.342216771735913,1.512679723143927e-18,3.6587819650471385,8.253383823774229,4.59460185872709,4.909305389513759e-17
2949,10630,7,8.978127328879399,1.3344173773731967e-12,1.156712477499596,12.223536367377987,11.06682388987839,1.958777801648729e-11
2976,442721,7,5.8956520129565995,2.215685538089085e-07,2.004864381078416,5.150691456085702,3.145827075007286,1.3603595015128688e-06
3002,27122,7,6.295389900315315,1.5541771638651836e-07,1.0428147313461267,12.051244512528159,11.008429781182032,9.822718890693054e-07
