Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-CV-7183	0	15	22	25	0	3	0
TCGA-CV-7235	30	11	6	21	46	0	31
TCGA-CV-7236	0	3	3	24	0	17	0
TCGA-CV-7238	6	6	1	25	0	9	0
TCGA-CV-7242	22	15	153	22	78	24	32
TCGA-CV-7243	6	21	0	38	0	9	0
TCGA-CV-7245	23	26	225	13	204	62	46
TCGA-CV-7247	5	15	0	4	37	0	0
TCGA-CV-7248	20	37	184	0	0	64	7
TCGA-CV-7250	8	10	65	56	25	25	21
TCGA-CV-7252	37	83	14	73	28	0	21
TCGA-CV-7253	4	7	35	38	60	35	11
TCGA-CV-7254	16	16	132	9	46	52	6
TCGA-CV-7255	7	9	13	31	0	42	5
TCGA-CV-7261	15	11	26	31	0	30	1
TCGA-CV-7263	0	20	0	27	12	31	37
TCGA-CV-7406	56	157	0	12	0	0	0
TCGA-CV-7407	7	15	7	18	0	28	37
TCGA-CV-7410	15	1	1	0	0	4	0
TCGA-CV-7411	16	28	18	6	25	19	9
TCGA-CV-7413	5	21	11	25	0	17	1
TCGA-CV-7414	110	38	3	36	18	9	42
TCGA-CV-7415	23	15	6	11	0	20	3
TCGA-CV-7416	5	21	0	34	15	0	0
TCGA-CV-7418	27	0	4	3	71	56	12
TCGA-CV-7421	17	5	9	14	0	11	8
TCGA-CV-7422	20	13	22	26	38	14	5
TCGA-CV-7423	5	9	4	17	6	32	0
TCGA-CV-7424	42	23	39	49	0	34	8
TCGA-CV-7425	13	22	19	43	0	18	5
TCGA-CV-7427	304	202	0	0	0	0	0
TCGA-CV-7429	5	9	11	19	9	3	1
TCGA-CV-7430	2	22	33	27	0	18	24
TCGA-CV-7432	9	17	37	21	41	41	15
TCGA-CV-7433	24	18	19	9	5	8	20
TCGA-CV-7434	8	0	20	25	41	6	11
TCGA-CV-7435	5	19	4	0	11	18	28
TCGA-CV-7437	21	20	23	49	7	10	5
TCGA-CV-7438	27	5	9	34	0	15	12
TCGA-CV-7440	25	14	106	33	1	9	35
TCGA-CV-7446	35	29	32	21	10	8	31
TCGA-CV-A45O	35	95	0	11	4	0	0
TCGA-CV-A45P	75	61	13	32	0	0	0
TCGA-CV-A45Q	128	70	3	52	58	6	7
TCGA-CV-A45R	2	8	0	57	16	3	12
TCGA-CV-A45T	0	0	0	7	0	0	2
TCGA-CV-A45U	39	102	31	14	20	0	14
TCGA-CV-A45V	17	25	8	30	0	39	0
TCGA-CV-A45W	26	48	281	19	108	53	19
TCGA-CV-A45X	17	4	7	13	24	35	15
TCGA-CV-A45Y	8	0	7	7	0	10	9
TCGA-CV-A45Z	40	14	318	0	243	22	14
TCGA-CV-A460	6	8	5	19	20	0	15
TCGA-CV-A461	25	56	343	0	136	85	43
TCGA-CV-A463	61	97	13	64	0	5	11
TCGA-CV-A464	0	6	4	4	0	11	0
TCGA-CV-A465	6	4	1	13	12	0	0
TCGA-CV-A468	0	44	0	63	0	28	23
TCGA-CV-A6JD	0	13	9	51	14	12	0
TCGA-CV-A6JE	50	19	4	9	31	0	41
TCGA-CV-A6JM	90	217	9	5	16	5	0
TCGA-CV-A6JN	3	8	11	26	0	0	41
TCGA-CV-A6JO	2	0	0	37	26	0	0
TCGA-CV-A6JT	4	10	4	30	8	3	0
TCGA-CV-A6JU	9	0	14	0	17	80	20
TCGA-CV-A6JY	0	12	16	31	0	27	0
TCGA-CV-A6JZ	0	16	19	14	17	24	17
TCGA-CV-A6K0	0	2	0	3	2	0	0
TCGA-CV-A6K1	35	64	102	132	0	200	0
TCGA-CV-A6K2	408	365	0	0	0	0	0
TCGA-CX-7082	13	6	10	12	0	18	46
TCGA-CX-7085	38	33	0	11	0	0	0
TCGA-CX-7086	48	41	14	8	46	65	29
TCGA-CX-7219	25	25	7	26	40	0	5
TCGA-CX-A4AQ	15	18	16	30	8	4	21
TCGA-D6-6515	2	11	0	19	0	1	6
TCGA-D6-6517	3	7	11	9	0	29	16
TCGA-D6-6823	7	8	12	5	14	16	50
TCGA-D6-6824	0	2	9	0	0	7	0
TCGA-D6-6825	4	12	4	23	22	7	10
TCGA-D6-6826	24	15	1	30	24	15	0
TCGA-D6-6827	0	0	0	2	0	8	2
TCGA-D6-8568	11	13	15	14	20	25	12
TCGA-D6-8569	1	7	25	15	0	50	47
TCGA-D6-A4Z9	8	0	17	17	21	12	31
TCGA-D6-A4ZB	51	0	18	14	0	19	17
TCGA-D6-A6EK	0	25	52	27	26	18	38
TCGA-D6-A6EM	0	14	7	30	23	0	26
TCGA-D6-A6EN	14	17	19	42	11	0	6
TCGA-D6-A6EO	2	13	0	7	50	21	4
TCGA-D6-A6EP	20	12	33	5	39	25	15
TCGA-D6-A6EQ	9	26	10	0	0	56	0
TCGA-D6-A6ES	133	30	17	33	5	0	17
TCGA-D6-A74Q	74	80	208	39	27	19	30
TCGA-DQ-5624	19	43	0	10	0	11	0
TCGA-DQ-5625	101	25	1	35	2	0	46
TCGA-DQ-5629	28	24	133	22	91	73	8
TCGA-DQ-5630	6	0	2	20	0	21	8
TCGA-DQ-5631	11	13	5	36	17	17	2
TCGA-DQ-7588	24	26	10	6	12	0	37
TCGA-DQ-7591	4	4	0	5	0	22	5
TCGA-DQ-7592	8	4	5	17	0	45	5
TCGA-DQ-7593	0	0	0	10	13	0	0
TCGA-DQ-7596	3	0	0	10	5	0	0
TCGA-F7-7848	11	22	185	4	91	31	26
TCGA-F7-8298	50	4	6	18	0	0	33
TCGA-F7-8489	24	26	17	18	0	3	32
TCGA-F7-A50G	43	0	6	54	4	0	5
TCGA-F7-A50I	8	16	42	21	7	38	19
TCGA-F7-A50J	74	23	12	48	0	12	6
TCGA-F7-A61S	7	7	16	48	10	13	21
TCGA-F7-A61V	16	26	14	6	43	0	9
TCGA-F7-A61W	5	0	5	4	0	9	51
TCGA-F7-A620	4	7	6	19	9	0	11
TCGA-F7-A622	0	0	0	25	21	0	17
TCGA-F7-A623	26	37	14	32	9	52	33
TCGA-H7-7774	4	18	15	51	0	38	14
TCGA-H7-8501	86	55	3	30	0	0	0
TCGA-H7-A6C4	0	3	0	22	6	0	0
TCGA-H7-A6C5	5	7	29	29	16	27	4
TCGA-H7-A76A	39	35	0	8	0	0	0
TCGA-HD-7229	26	8	28	50	41	0	8
TCGA-HD-7753	7	2	28	5	8	2	51
TCGA-HD-7754	0	14	0	35	13	1	6
TCGA-HD-7831	0	3	0	10	21	2	0
TCGA-HD-7832	6	34	1	13	0	29	33
TCGA-HD-8224	5	6	15	23	0	6	18
TCGA-HD-8314	14	52	1	3	7	0	0
TCGA-HD-8634	10	12	6	16	0	19	0
TCGA-HD-8635	79	31	28	18	42	13	25
TCGA-HD-A4C1	64	72	6	41	0	39	6
TCGA-HD-A633	38	46	16	21	33	0	0
TCGA-HD-A634	0	5	14	19	4	2	0
TCGA-HD-A6HZ	23	8	9	35	0	15	0
TCGA-HD-A6I0	4	17	6	45	10	0	2
TCGA-IQ-7630	24	9	12	95	0	0	5
TCGA-IQ-7631	1	3	0	21	0	12	0
TCGA-IQ-7632	0	5	4	4	7	6	15
TCGA-IQ-A61E	88	51	2	26	13	7	1
TCGA-IQ-A61G	12	9	23	30	0	61	14
TCGA-IQ-A61H	32	24	2	35	33	0	23
TCGA-IQ-A61I	32	105	0	10	0	0	0
TCGA-IQ-A61J	0	0	7	19	0	10	3
TCGA-IQ-A61O	0	6	3	21	11	0	0
TCGA-IQ-A6SG	3	5	32	19	0	32	24
TCGA-IQ-A6SH	4	16	2	26	3	22	13
TCGA-KU-A66S	73	0	146	23	241	18	0
TCGA-KU-A66T	8	13	12	45	17	20	2
TCGA-KU-A6H7	66	78	0	6	0	0	0
TCGA-KU-A6H8	1	0	2	6	2	0	10
TCGA-MT-A51W	33	4	7	3	0	0	22
TCGA-MT-A51X	3	0	0	21	0	33	0
TCGA-MT-A67A	6	3	3	65	19	11	9
TCGA-MT-A67D	0	16	4	31	20	12	22
TCGA-MT-A67F	133	189	0	0	0	0	0
TCGA-MT-A7BN	6	10	9	34	5	0	3
TCGA-MZ-A5BI	5	0	0	14	0	16	0
TCGA-MZ-A6I9	4	3	0	10	13	0	0
TCGA-MZ-A7D7	46	11	10	3	30	12	25
TCGA-P3-A5Q5	166	124	0	27	0	0	0
TCGA-P3-A5Q6	20	20	9	34	24	0	34
TCGA-P3-A5QA	0	0	5	48	18	0	0
TCGA-P3-A5QE	9	0	3	26	6	0	1
TCGA-P3-A5QF	215	221	0	0	0	0	0
TCGA-P3-A6SW	12	17	0	15	21	0	5
TCGA-P3-A6SX	35	0	37	25	35	8	61
TCGA-P3-A6T0	4	7	0	46	25	9	11
TCGA-P3-A6T2	9	28	12	24	3	0	1
TCGA-P3-A6T3	56	33	4	27	3	0	0
TCGA-P3-A6T4	68	27	0	4	45	0	18
TCGA-P3-A6T5	58	79	18	57	0	0	26
TCGA-P3-A6T6	43	46	18	12	28	0	7
TCGA-P3-A6T7	38	6	0	42	40	2	23
TCGA-P3-A6T8	0	5	0	18	34	15	23
TCGA-QK-A64Z	32	13	4	19	0	9	11
TCGA-QK-A652	1	6	8	13	6	7	6
TCGA-QK-A6IF	0	8	0	15	0	8	0
TCGA-QK-A6IG	43	28	12	47	1	0	0
TCGA-QK-A6IH	18	10	1	19	0	19	11
TCGA-QK-A6II	106	6	2	16	0	31	39
TCGA-QK-A6IJ	0	2	0	26	24	0	0
TCGA-QK-A6V9	3	18	0	43	10	0	8
TCGA-QK-A6VB	0	0	54	76	0	326	0
TCGA-QK-A6VC	57	74	3	0	25	0	3
TCGA-QK-A8Z7	7	2	24	28	21	46	18
TCGA-QK-A8Z8	11	30	270	40	58	0	50
TCGA-QK-A8Z9	18	18	1	13	34	17	42
TCGA-QK-A8ZA	18	26	16	16	45	0	17
TCGA-QK-A8ZB	34	2	8	16	4	47	0
TCGA-QK-AA3J	28	35	4	12	7	0	56
TCGA-QK-AA3K	7	8	10	15	17	22	25
TCGA-RS-A6TO	38	52	5	35	37	0	5
TCGA-RS-A6TP	67	66	0	19	0	0	2
TCGA-T2-A6WX	94	87	0	20	0	23	0
TCGA-T2-A6WZ	17	2	9	30	17	0	24
TCGA-T2-A6X0	0	7	1	48	0	8	1
TCGA-T2-A6X2	245	166	2	0	18	0	0
TCGA-T3-A92M	231	61	32	18	0	27	10
TCGA-T3-A92N	25	81	5	46	0	0	29
TCGA-TN-A7HI	1	17	10	35	0	0	0
TCGA-TN-A7HJ	30	52	7	11	1	0	0
TCGA-TN-A7HL	341	418	0	0	0	0	0
TCGA-UF-A718	1	1	18	21	11	0	10
TCGA-UF-A719	0	6	1	29	54	21	12
TCGA-UF-A71A	10	20	26	28	57	12	68
TCGA-UF-A71B	12	18	0	12	46	38	31
TCGA-UF-A71D	25	57	202	69	21	84	68
TCGA-UF-A71E	8	15	37	75	21	8	30
TCGA-UF-A7J9	74	33	87	42	0	0	33
TCGA-UF-A7JA	67	16	32	13	0	35	24
TCGA-UF-A7JC	3	9	10	14	0	0	24
TCGA-UF-A7JD	2	2	16	23	40	12	20
TCGA-UF-A7JF	14	20	32	13	6	0	41
TCGA-UF-A7JH	3	9	25	32	8	1	6
TCGA-UF-A7JJ	2	0	21	3	12	8	8
TCGA-UF-A7JK	1	8	31	55	0	0	35
TCGA-UF-A7JO	56	20	8	70	13	10	1
TCGA-UF-A7JS	16	0	15	25	8	9	6
TCGA-UF-A7JT	88	53	16	50	12	0	0
TCGA-UF-A7JV	34	42	0	1	4	0	6
TCGA-UP-A6WW	1	3	1	19	5	15	1
TCGA-WA-A7GZ	64	44	22	35	0	32	32
TCGA-WA-A7H4	17	1	2	11	0	9	11
